Sample description: 
Sample:   c= 0 mg/ml  Code: 
Parent(s): TipAS_1.96mgml-1_10deg_sub_ave_cm-1.dat
  1.146921e-01   2.385991e-02   2.457423e-03
  1.274356e-01   1.795925e-02   1.702740e-03
  1.401790e-01   1.885838e-02   1.600502e-03
  1.529224e-01   1.943752e-02   1.389659e-03
  1.656658e-01   1.963470e-02   1.255661e-03
  1.784092e-01   1.688318e-02   1.242618e-03
  1.911525e-01   1.712406e-02   1.076926e-03
  2.038957e-01   1.851487e-02   1.087660e-03
  2.166390e-01   1.812439e-02   9.510520e-04
  2.293821e-01   1.776799e-02   9.224781e-04
  2.421253e-01   1.886147e-02   8.607724e-04
  2.548683e-01   1.750391e-02   8.083281e-04
  2.676113e-01   1.790167e-02   7.742923e-04
  2.803543e-01   1.711361e-02   7.014265e-04
  2.930972e-01   1.740349e-02   6.946934e-04
  3.058400e-01   1.709433e-02   6.460883e-04
  3.185828e-01   1.688316e-02   6.120306e-04
  3.313255e-01   1.554649e-02   5.900520e-04
  3.440681e-01   1.510582e-02   5.499755e-04
  3.568106e-01   1.559376e-02   5.474505e-04
  3.695531e-01   1.545407e-02   5.194684e-04
  3.822955e-01   1.502467e-02   5.031204e-04
  3.950378e-01   1.488034e-02   4.894302e-04
  4.077800e-01   1.495734e-02   4.750028e-04
  4.205221e-01   1.375347e-02   4.772189e-04
  4.332641e-01   1.255370e-02   4.410252e-04
  4.460061e-01   1.355638e-02   4.584324e-04
  4.587479e-01   1.291766e-02   4.352761e-04
  4.714896e-01   1.307568e-02   4.312739e-04
  4.842313e-01   1.284545e-02   4.275524e-04
  4.969728e-01   1.257011e-02   4.071397e-04
  5.097142e-01   1.147266e-02   4.075288e-04
  5.224555e-01   1.255159e-02   3.953993e-04
  5.351967e-01   1.170901e-02   3.902347e-04
  5.479378e-01   1.146605e-02   3.857022e-04
  5.606787e-01   1.173972e-02   3.711580e-04
  5.734196e-01   9.919388e-03   3.730708e-04
  5.861603e-01   1.027543e-02   3.566418e-04
  5.989008e-01   9.297566e-03   3.521407e-04
  6.116413e-01   1.014481e-02   3.511970e-04
  6.243816e-01   9.053668e-03   3.382889e-04
  6.371217e-01   9.105577e-03   3.460203e-04
  6.498618e-01   9.270852e-03   3.265027e-04
  6.626017e-01   8.771270e-03   3.325437e-04
  6.753414e-01   8.758296e-03   3.218032e-04
  6.880810e-01   8.891888e-03   3.252671e-04
  7.008204e-01   8.718133e-03   3.183243e-04
  7.135597e-01   7.809612e-03   3.028663e-04
  7.262988e-01   7.975663e-03   3.100243e-04
  7.390378e-01   7.741587e-03   2.992085e-04
  7.517766e-01   7.785255e-03   3.011073e-04
  7.645153e-01   6.412026e-03   2.891494e-04
  7.772537e-01   7.199036e-03   2.912878e-04
  7.899920e-01   6.967633e-03   2.883750e-04
  8.027302e-01   7.043786e-03   2.794913e-04
  8.154681e-01   6.724449e-03   2.794714e-04
  8.282059e-01   5.916352e-03   2.722809e-04
  8.409435e-01   6.367689e-03   2.721030e-04
  8.536809e-01   6.288750e-03   2.767424e-04
  8.664181e-01   5.736658e-03   2.583502e-04
  8.791551e-01   6.107383e-03   2.623816e-04
  8.918920e-01   5.649607e-03   2.548726e-04
  9.046286e-01   5.715709e-03   2.555797e-04
  9.173650e-01   5.190255e-03   2.521878e-04
  9.301013e-01   4.275420e-03   2.455036e-04
  9.428373e-01   4.901133e-03   2.443812e-04
  9.555731e-01   5.269107e-03   2.450945e-04
  9.683087e-01   4.745837e-03   2.429281e-04
  9.810441e-01   5.563439e-03   2.411520e-04
  9.937793e-01   4.944245e-03   2.389185e-04
  1.006514e+00   4.179207e-03   2.359974e-04
  1.019249e+00   4.580510e-03   2.271221e-04
  1.031984e+00   4.121616e-03   2.315343e-04
  1.044718e+00   4.144086e-03   2.309629e-04
  1.057452e+00   3.747842e-03   2.299854e-04
  1.070186e+00   3.649637e-03   2.358782e-04
  1.082919e+00   3.646950e-03   2.293898e-04
  1.095653e+00   3.423608e-03   2.338206e-04
  1.108386e+00   3.338215e-03   2.242247e-04
  1.121119e+00   2.880098e-03   2.301941e-04
  1.133851e+00   3.188968e-03   2.268168e-04
