Sample description: 
Sample:   c= 0 mg/ml  Code: 
Parent(s): TipAS_1.96mgml-1_25deg_sub_ave_cm-1.dat
  1.146921e-01   2.620675e-02   2.384574e-03
  1.274356e-01   1.656779e-02   1.677226e-03
  1.401790e-01   1.830636e-02   1.580259e-03
  1.529224e-01   1.831796e-02   1.379448e-03
  1.656658e-01   1.585707e-02   1.227984e-03
  1.784092e-01   1.722126e-02   1.219121e-03
  1.911525e-01   1.560377e-02   1.060712e-03
  2.038957e-01   1.372396e-02   1.044085e-03
  2.166390e-01   1.922505e-02   9.451117e-04
  2.293821e-01   1.649193e-02   9.086408e-04
  2.421253e-01   1.591466e-02   8.514189e-04
  2.548683e-01   1.693481e-02   7.974291e-04
  2.676113e-01   1.563800e-02   7.540791e-04
  2.803543e-01   1.525948e-02   6.955908e-04
  2.930972e-01   1.506941e-02   6.734408e-04
  3.058400e-01   1.582100e-02   6.304061e-04
  3.185828e-01   1.516936e-02   5.918684e-04
  3.313255e-01   1.509295e-02   5.765653e-04
  3.440681e-01   1.394088e-02   5.290668e-04
  3.568106e-01   1.397521e-02   5.349362e-04
  3.695531e-01   1.331587e-02   4.993400e-04
  3.822955e-01   1.376622e-02   4.952136e-04
  3.950378e-01   1.268549e-02   4.747843e-04
  4.077800e-01   1.302911e-02   4.554946e-04
  4.205221e-01   1.167003e-02   4.572162e-04
  4.332641e-01   1.144854e-02   4.317563e-04
  4.460061e-01   1.139910e-02   4.427080e-04
  4.587479e-01   1.134860e-02   4.189962e-04
  4.714896e-01   1.050658e-02   4.101199e-04
  4.842313e-01   1.046224e-02   4.159642e-04
  4.969728e-01   1.069658e-02   3.931681e-04
  5.097142e-01   1.125967e-02   3.979472e-04
  5.224555e-01   1.035004e-02   3.733404e-04
  5.351967e-01   1.040817e-02   3.793658e-04
  5.479378e-01   9.392724e-03   3.737114e-04
  5.606787e-01   1.012097e-02   3.596970e-04
  5.734196e-01   9.159985e-03   3.596145e-04
  5.861603e-01   9.348429e-03   3.451751e-04
  5.989008e-01   8.765510e-03   3.444631e-04
  6.116413e-01   8.694102e-03   3.379310e-04
  6.243816e-01   8.613296e-03   3.267953e-04
  6.371217e-01   8.286306e-03   3.366794e-04
  6.498618e-01   7.912888e-03   3.150456e-04
  6.626017e-01   7.628980e-03   3.189736e-04
  6.753414e-01   7.562679e-03   3.102455e-04
  6.880810e-01   7.636806e-03   3.111518e-04
  7.008204e-01   8.065582e-03   3.118498e-04
  7.135597e-01   6.954403e-03   2.934711e-04
  7.262988e-01   7.039612e-03   3.001568e-04
  7.390378e-01   6.875138e-03   2.905539e-04
  7.517766e-01   6.694398e-03   2.929688e-04
  7.645153e-01   6.899077e-03   2.846854e-04
  7.772537e-01   6.073224e-03   2.779936e-04
  7.899920e-01   6.647862e-03   2.792826e-04
  8.027302e-01   5.639995e-03   2.664544e-04
  8.154681e-01   6.209551e-03   2.748746e-04
  8.282059e-01   6.095158e-03   2.695107e-04
  8.409435e-01   5.425097e-03   2.623679e-04
  8.536809e-01   5.985980e-03   2.695512e-04
  8.664181e-01   5.579281e-03   2.553291e-04
  8.791551e-01   6.099429e-03   2.589180e-04
  8.918920e-01   5.332536e-03   2.486953e-04
  9.046286e-01   4.891451e-03   2.531230e-04
  9.173650e-01   4.446732e-03   2.461592e-04
  9.301013e-01   5.009986e-03   2.475242e-04
  9.428373e-01   3.897614e-03   2.388813e-04
  9.555731e-01   4.255774e-03   2.361494e-04
  9.683087e-01   4.573319e-03   2.367177e-04
  9.810441e-01   4.126689e-03   2.346481e-04
  9.937793e-01   4.171266e-03   2.324840e-04
  1.006514e+00   3.988804e-03   2.346542e-04
  1.019249e+00   3.900351e-03   2.198869e-04
  1.031984e+00   3.518905e-03   2.228802e-04
  1.044718e+00   3.582273e-03   2.299103e-04
  1.057452e+00   3.267922e-03   2.267231e-04
  1.070186e+00   2.800476e-03   2.299133e-04
  1.082919e+00   3.197889e-03   2.211189e-04
