Sample description: 
Sample:   c= 0 mg/ml  Code: 
Parent(s): TipAS_1.96mgml-1_20deg_sub_ave_cm-1.dat
  1.146921e-01   2.134952e-02   1.865764e-03
  1.274356e-01   2.018981e-02   1.309099e-03
  1.401790e-01   1.959953e-02   1.224455e-03
  1.529224e-01   1.705055e-02   1.065220e-03
  1.656658e-01   1.849940e-02   9.556189e-04
  1.784092e-01   1.806374e-02   9.452291e-04
  1.911525e-01   1.810597e-02   8.302592e-04
  2.038957e-01   1.865313e-02   8.365816e-04
  2.166390e-01   1.580145e-02   7.219781e-04
  2.293821e-01   1.698158e-02   7.124724e-04
  2.421253e-01   1.636067e-02   6.604010e-04
  2.548683e-01   1.587583e-02   6.188806e-04
  2.676113e-01   1.819021e-02   5.931515e-04
  2.803543e-01   1.463164e-02   5.357995e-04
  2.930972e-01   1.559847e-02   5.269056e-04
  3.058400e-01   1.661216e-02   4.921418e-04
  3.185828e-01   1.587742e-02   4.695777e-04
  3.313255e-01   1.480833e-02   4.453728e-04
  3.440681e-01   1.579316e-02   4.237815e-04
  3.568106e-01   1.447886e-02   4.142686e-04
  3.695531e-01   1.430946e-02   3.914267e-04
  3.822955e-01   1.439950e-02   3.852680e-04
  3.950378e-01   1.326112e-02   3.681495e-04
  4.077800e-01   1.214624e-02   3.520656e-04
  4.205221e-01   1.284224e-02   3.602744e-04
  4.332641e-01   1.300158e-02   3.368054e-04
  4.460061e-01   1.219744e-02   3.483556e-04
  4.587479e-01   1.252213e-02   3.279978e-04
  4.714896e-01   1.188734e-02   3.252001e-04
  4.842313e-01   1.152692e-02   3.240388e-04
  4.969728e-01   1.064215e-02   3.067409e-04
  5.097142e-01   1.124511e-02   3.119658e-04
  5.224555e-01   1.063932e-02   2.957792e-04
  5.351967e-01   1.072083e-02   2.990100e-04
  5.479378e-01   1.056148e-02   2.915363e-04
  5.606787e-01   9.740306e-03   2.784206e-04
  5.734196e-01   9.845286e-03   2.839817e-04
  5.861603e-01   1.008410e-02   2.711991e-04
  5.989008e-01   9.759888e-03   2.724432e-04
  6.116413e-01   9.275781e-03   2.672665e-04
  6.243816e-01   9.233240e-03   2.563449e-04
  6.371217e-01   8.895556e-03   2.630654e-04
  6.498618e-01   8.705082e-03   2.481432e-04
  6.626017e-01   8.418602e-03   2.526595e-04
  6.753414e-01   8.030041e-03   2.419434e-04
  6.880810e-01   8.226735e-03   2.451422e-04
  7.008204e-01   8.074546e-03   2.426121e-04
  7.135597e-01   7.711051e-03   2.323169e-04
  7.262988e-01   7.032332e-03   2.343133e-04
  7.390378e-01   7.156010e-03   2.267434e-04
  7.517766e-01   6.685577e-03   2.284086e-04
  7.645153e-01   6.264133e-03   2.222496e-04
  7.772537e-01   7.145408e-03   2.221494e-04
  7.899920e-01   6.474179e-03   2.158297e-04
  8.027302e-01   6.396372e-03   2.128336e-04
  8.154681e-01   5.602602e-03   2.102078e-04
  8.282059e-01   5.880526e-03   2.090874e-04
  8.409435e-01   5.252122e-03   2.042091e-04
  8.536809e-01   5.115281e-03   2.068461e-04
  8.664181e-01   5.604577e-03   1.962679e-04
  8.791551e-01   4.824411e-03   2.000436e-04
  8.918920e-01   5.135102e-03   1.924070e-04
  9.046286e-01   5.525439e-03   1.968161e-04
  9.173650e-01   4.911955e-03   1.922434e-04
  9.301013e-01   4.603795e-03   1.897445e-04
  9.428373e-01   4.750964e-03   1.872748e-04
  9.555731e-01   4.368034e-03   1.834439e-04
  9.683087e-01   4.659360e-03   1.833253e-04
  9.810441e-01   4.491292e-03   1.823162e-04
  9.937793e-01   4.320922e-03   1.819251e-04
  1.006514e+00   4.350331e-03   1.834993e-04
  1.019249e+00   3.832165e-03   1.741623e-04
  1.031984e+00   4.112836e-03   1.747762e-04
  1.044718e+00   3.895314e-03   1.766226e-04
  1.057452e+00   4.038885e-03   1.778368e-04
  1.070186e+00   3.620807e-03   1.811929e-04
  1.082919e+00   3.582993e-03   1.754484e-04
  1.095653e+00   2.858870e-03   1.783168e-04
  1.108386e+00   3.327924e-03   1.719529e-04
  1.121119e+00   3.320033e-03   1.780144e-04
  1.133851e+00   3.166312e-03   1.743702e-04
  1.146584e+00   2.357092e-03   1.734323e-04
  1.159316e+00   2.732898e-03   1.755053e-04
  1.172048e+00   2.676892e-03   1.695488e-04
  1.184779e+00   2.819346e-03   1.764006e-04
  1.197511e+00   2.645358e-03   1.734821e-04
  1.210242e+00   2.573492e-03   1.782472e-04
  1.222973e+00   3.267356e-03   1.836186e-04
  1.235703e+00   2.627537e-03   1.772186e-04
  1.248433e+00   2.583369e-03   1.811858e-04
  1.261163e+00   2.216797e-03   1.789304e-04
  1.273893e+00   2.801491e-03   1.828539e-04
  1.286623e+00   2.009168e-03   1.803603e-04
  1.299352e+00   1.907751e-03   1.785932e-04
  1.312081e+00   1.962463e-03   1.837665e-04
  1.324809e+00   2.237849e-03   1.768145e-04
  1.337538e+00   1.682808e-03   1.762892e-04
  1.350266e+00   1.881645e-03   1.712617e-04
  1.362993e+00   1.849981e-03   1.699112e-04
  1.375721e+00   1.436734e-03   1.710736e-04
  1.388448e+00   1.727218e-03   1.716357e-04
  1.401175e+00   1.537109e-03   1.769468e-04
  1.413901e+00   1.583967e-03   1.731737e-04
  1.426627e+00   9.806168e-04   1.728729e-04
  1.439353e+00   1.178786e-03   1.765866e-04
  1.452079e+00   1.528212e-03   1.736364e-04
  1.464804e+00   1.235205e-03   1.764645e-04
  1.477529e+00   1.160338e-03   1.759372e-04
  1.490254e+00   8.095791e-04   1.749910e-04
  1.502978e+00   1.364271e-03   1.795679e-04
  1.515702e+00   1.506501e-03   1.746159e-04
  1.528425e+00   1.434011e-03   1.803494e-04
  1.541149e+00   1.065968e-03   1.744191e-04
  1.553872e+00   1.319688e-03   1.792002e-04
  1.566594e+00   9.158209e-04   1.743714e-04
  1.579317e+00   1.189378e-03   1.747295e-04
  1.592038e+00   5.900408e-04   1.758883e-04
  1.604760e+00   9.569954e-04   1.720371e-04
  1.617481e+00   1.296250e-03   1.744153e-04
  1.630202e+00   9.030026e-04   1.756908e-04
  1.642923e+00   9.998429e-04   1.739767e-04
  1.655643e+00   1.069491e-03   1.735354e-04
  1.668362e+00   7.722260e-04   1.717710e-04
  1.681082e+00   5.617898e-04   1.643958e-04
  1.693801e+00   6.773240e-04   1.643795e-04
  1.706520e+00   8.111541e-04   1.613856e-04
  1.719238e+00   8.100010e-04   1.576152e-04
  1.731956e+00   1.316556e-03   1.590277e-04
  1.744673e+00   9.650730e-04   1.579120e-04
  1.757390e+00   1.134981e-03   1.564331e-04
  1.770107e+00   9.096755e-04   1.553771e-04
  1.782824e+00   3.961237e-04   1.505898e-04
  1.795540e+00   4.881312e-04   1.522760e-04
  1.808255e+00   4.749240e-04   1.497665e-04
  1.820970e+00   8.865934e-04   1.482049e-04
  1.833685e+00   3.871208e-04   1.506773e-04
  1.846400e+00   7.302781e-04   1.463562e-04
  1.859113e+00   5.219189e-04   1.477615e-04
  1.871827e+00   8.487056e-04   1.468595e-04
  1.884540e+00   6.893663e-04   1.450048e-04
  1.897253e+00   5.357918e-04   1.442152e-04
  1.909965e+00   2.637587e-04   1.428457e-04
  1.922677e+00   7.857296e-04   1.440379e-04
  1.935389e+00   7.775515e-04   1.428888e-04
  1.948100e+00   3.148045e-04   1.403356e-04
  1.960810e+00   2.349807e-04   1.417186e-04
  1.973521e+00   3.617556e-04   1.357340e-04
