Sample description: 
Sample:   c= 0 mg/ml  Code: 
Parent(s): TipAS_1.96mgml-1_20degBack_sub_ave_cm-1.dat
  1.146921e-01   2.262018e-02   2.422026e-03
  1.274356e-01   1.863584e-02   1.680505e-03
  1.401790e-01   1.857136e-02   1.574441e-03
  1.529224e-01   1.487189e-02   1.360138e-03
  1.656658e-01   1.789023e-02   1.230346e-03
  1.784092e-01   1.871696e-02   1.226937e-03
  1.911525e-01   1.518306e-02   1.050768e-03
  2.038957e-01   1.729124e-02   1.070283e-03
  2.166390e-01   1.621727e-02   9.362372e-04
  2.293821e-01   1.631394e-02   9.154332e-04
  2.421253e-01   1.433114e-02   8.374602e-04
  2.548683e-01   1.623474e-02   8.026342e-04
  2.676113e-01   1.655789e-02   7.531352e-04
  2.803543e-01   1.512739e-02   6.964403e-04
  2.930972e-01   1.605265e-02   6.847893e-04
  3.058400e-01   1.616151e-02   6.322612e-04
  3.185828e-01   1.497655e-02   5.991995e-04
  3.313255e-01   1.493844e-02   5.767240e-04
  3.440681e-01   1.497180e-02   5.406949e-04
  3.568106e-01   1.381870e-02   5.295531e-04
  3.695531e-01   1.366167e-02   5.002644e-04
  3.822955e-01   1.350212e-02   4.900796e-04
  3.950378e-01   1.255588e-02   4.696154e-04
  4.077800e-01   1.235970e-02   4.568172e-04
  4.205221e-01   1.296754e-02   4.666981e-04
  4.332641e-01   1.205435e-02   4.273393e-04
  4.460061e-01   1.204742e-02   4.489293e-04
  4.587479e-01   1.209365e-02   4.203545e-04
  4.714896e-01   1.095658e-02   4.125383e-04
  4.842313e-01   1.137771e-02   4.175369e-04
  4.969728e-01   1.052276e-02   3.954602e-04
  5.097142e-01   1.046897e-02   3.967896e-04
  5.224555e-01   1.080574e-02   3.835885e-04
  5.351967e-01   1.030459e-02   3.830758e-04
  5.479378e-01   9.471980e-03   3.679328e-04
  5.606787e-01   9.664617e-03   3.592258e-04
  5.734196e-01   9.744082e-03   3.662018e-04
  5.861603e-01   9.420454e-03   3.453087e-04
  5.989008e-01   9.534133e-03   3.503161e-04
  6.116413e-01   9.176342e-03   3.446183e-04
