Sample description: 
Sample:   c= 0 mg/ml  Code: 
Parent(s): TipAS_1.96mgml-1_35deg_sub_ave_cm-1.dat
  1.146921e-01   1.364332e-02   2.312209e-03
  1.274356e-01   1.772479e-02   1.659455e-03
  1.401790e-01   1.472364e-02   1.553603e-03
  1.529224e-01   1.591066e-02   1.338952e-03
  1.656658e-01   1.774668e-02   1.222876e-03
  1.784092e-01   1.722036e-02   1.208824e-03
  1.911525e-01   1.521360e-02   1.055307e-03
  2.038957e-01   1.868250e-02   1.063511e-03
  2.166390e-01   1.322771e-02   9.136015e-04
  2.293821e-01   1.739583e-02   9.038337e-04
  2.421253e-01   1.487034e-02   8.371607e-04
  2.548683e-01   1.471804e-02   7.864709e-04
  2.676113e-01   1.450591e-02   7.618005e-04
  2.803543e-01   1.465847e-02   6.823276e-04
  2.930972e-01   1.436672e-02   6.626296e-04
  3.058400e-01   1.269623e-02   6.118031e-04
  3.185828e-01   1.395581e-02   5.915888e-04
  3.313255e-01   1.289103e-02   5.628730e-04
  3.440681e-01   1.246835e-02   5.205806e-04
  3.568106e-01   1.222255e-02   5.143342e-04
  3.695531e-01   1.319538e-02   4.937415e-04
  3.822955e-01   1.166821e-02   4.824535e-04
  3.950378e-01   1.315690e-02   4.718566e-04
  4.077800e-01   1.175917e-02   4.477076e-04
  4.205221e-01   1.127670e-02   4.472902e-04
  4.332641e-01   1.011323e-02   4.148089e-04
  4.460061e-01   1.090306e-02   4.333627e-04
  4.587479e-01   1.038722e-02   4.077561e-04
  4.714896e-01   9.997786e-03   4.039016e-04
  4.842313e-01   9.879276e-03   4.004191e-04
  4.969728e-01   9.571643e-03   3.818687e-04
  5.097142e-01   8.676883e-03   3.812462e-04
  5.224555e-01   8.664296e-03   3.660251e-04
  5.351967e-01   8.763107e-03   3.705342e-04
  5.479378e-01   8.826291e-03   3.637420e-04
  5.606787e-01   8.116189e-03   3.429580e-04
  5.734196e-01   8.315985e-03   3.494594e-04
  5.861603e-01   7.029454e-03   3.320181e-04
  5.989008e-01   7.055602e-03   3.330192e-04
  6.116413e-01   7.496959e-03   3.364222e-04
  6.243816e-01   7.320628e-03   3.174007e-04
  6.371217e-01   7.027480e-03   3.284001e-04
  6.498618e-01   7.043311e-03   3.079180e-04
  6.626017e-01   7.349000e-03   3.128227e-04
  6.753414e-01   6.330934e-03   3.018748e-04
  6.880810e-01   6.462730e-03   3.042123e-04
  7.008204e-01   6.926179e-03   3.065462e-04
  7.135597e-01   6.013449e-03   2.858328e-04
  7.262988e-01   6.435378e-03   2.908430e-04
  7.390378e-01   5.845597e-03   2.825527e-04
  7.517766e-01   5.581714e-03   2.844366e-04
  7.645153e-01   6.006969e-03   2.781737e-04
  7.772537e-01   5.891439e-03   2.766888e-04
  7.899920e-01   5.128332e-03   2.706998e-04
  8.027302e-01   4.924141e-03   2.645410e-04
  8.154681e-01   4.289265e-03   2.629177e-04
  8.282059e-01   4.656428e-03   2.581095e-04
  8.409435e-01   4.878605e-03   2.571810e-04
  8.536809e-01   3.841952e-03   2.571686e-04
  8.664181e-01   4.380072e-03   2.488957e-04
  8.791551e-01   4.625010e-03   2.515645e-04
  8.918920e-01   4.030287e-03   2.430986e-04
  9.046286e-01   4.331620e-03   2.444112e-04
  9.173650e-01   4.172770e-03   2.431684e-04
  9.301013e-01   3.988380e-03   2.396953e-04
  9.428373e-01   3.861974e-03   2.366233e-04
  9.555731e-01   3.528308e-03   2.331283e-04
  9.683087e-01   3.744166e-03   2.311369e-04
  9.810441e-01   3.819858e-03   2.284497e-04
  9.937793e-01   3.459035e-03   2.269581e-04
