Sample description: 
Sample:   c= 0 mg/ml  Code: 
Parent(s): TipAS_1.96mgml-1_40deg_sub_ave_cm-1.dat
  1.146921e-01   1.844566e-02   2.322520e-03
  1.274356e-01   1.354514e-02   1.652889e-03
  1.401790e-01   1.799443e-02   1.563397e-03
  1.529224e-01   1.657546e-02   1.336910e-03
  1.656658e-01   1.571274e-02   1.201529e-03
  1.784092e-01   1.234117e-02   1.190973e-03
  1.911525e-01   1.510319e-02   1.045608e-03
  2.038957e-01   1.307801e-02   1.035434e-03
  2.166390e-01   1.523504e-02   9.149327e-04
  2.293821e-01   1.587147e-02   9.062648e-04
  2.421253e-01   1.489073e-02   8.330296e-04
  2.548683e-01   1.521808e-02   7.760582e-04
  2.676113e-01   1.464282e-02   7.396291e-04
  2.803543e-01   1.293016e-02   6.745490e-04
  2.930972e-01   1.318905e-02   6.545342e-04
  3.058400e-01   1.237330e-02   6.031378e-04
  3.185828e-01   1.365623e-02   5.790383e-04
  3.313255e-01   1.244197e-02   5.563480e-04
  3.440681e-01   1.248661e-02   5.177087e-04
  3.568106e-01   1.242798e-02   5.082079e-04
  3.695531e-01   1.168386e-02   4.772088e-04
  3.822955e-01   1.086647e-02   4.701809e-04
  3.950378e-01   1.028342e-02   4.564402e-04
  4.077800e-01   1.001708e-02   4.390673e-04
  4.205221e-01   1.085960e-02   4.466361e-04
  4.332641e-01   9.568082e-03   4.117230e-04
  4.460061e-01   1.021755e-02   4.224918e-04
  4.587479e-01   9.912689e-03   4.058144e-04
  4.714896e-01   9.199403e-03   3.926238e-04
  4.842313e-01   8.154005e-03   3.908840e-04
  4.969728e-01   1.011421e-02   3.810931e-04
  5.097142e-01   8.167566e-03   3.729997e-04
  5.224555e-01   8.266857e-03   3.601245e-04
  5.351967e-01   7.930209e-03   3.599630e-04
  5.479378e-01   7.199837e-03   3.504508e-04
  5.606787e-01   7.495847e-03   3.391490e-04
  5.734196e-01   7.248908e-03   3.419158e-04
  5.861603e-01   6.482423e-03   3.287185e-04
  5.989008e-01   6.674515e-03   3.301899e-04
  6.116413e-01   7.165786e-03   3.273531e-04
  6.243816e-01   6.247561e-03   3.103891e-04
  6.371217e-01   6.683556e-03   3.217466e-04
