0 19436200 238658
0.1 19065300 226455
0.2 17999100 210391
0.3 16369000 187431
0.4 14363600 161828
0.5 12193600 137258
0.6 10054200 115812
0.7 8096760 97911.2
0.8 6413640 82956.8
0.9 5038080 70154.4
1 3955930 59055.1
1.1 3124090 49667.5
1.2 2489080 42114.3
1.3 2001290 36109.1
1.4 1622320 30793.3
1.5 1325990 25112.6
1.6 1095270 18294.9
1.7 917927 11778.2
1.8 783145 8478.07
1.9 680303 6952.41
2 599507 6460.2
2.1 532914 6333.7
2.2 475691 6176.31
2.3 425960 5820.55
2.4 383739 5337.85
2.5 349460 4882.21
2.6 322760 4571.12
2.7 302051 4513.58
2.8 284914 4561.21
2.9 268976 4340.37
3 252748 3881.13
3.1 235998 3498.81
3.2 219520 3205.84
3.3 204484 2917.04
3.4 191714 2586.09
3.5 181244 2284.25
3.6 172323 2083.97
3.7 163810 1995.74
3.8 154710 1992.88
3.9 145734 2184.11
4 131385 2126.61
4.1 124270 2026.64
4.2 115556 2211.11
4.3 104702 2267.55
4.4 100788 2036.5
4.5 95417.4 1745.31
4.6 89457.7 1595.5
4.7 84321.1 1310.77
4.8 81024.8 1366.09
4.9 75633.3 1131.56
5 72008.8 1053.77
5.1 68622.2 961.901
5.2 66218.6 946.028
5.3 64028 825.583
5.4 62564.4 850.843
5.5 61187.1 760.774
5.6 59976.6 741.084
5.7 59138.2 666.342
5.8 57787.7 627.77
5.9 56538.7 616.493
6 55487.6 593.228
6.1 54658.3 564.93
6.2 53397.5 563.097
6.3 52051.1 549.764
6.4 51054.8 565.082
6.5 49875 540.171
6.6 48334.7 534.292
6.7 47449.4 528.937
6.8 46147.9 510.764
6.9 44991.1 543.394
7 43913.1 510.343
7.1 42542.5 522.856
7.2 41392.8 550.878
7.3 39924.8 527.688
7.4 38527.7 511.876
7.5 37186.8 500.585
7.6 35895.5 491.693
7.7 34648.2 516.266
7.8 33408.6 486.889
7.9 32184.5 482.326
8 31079.3 502.843
8.1 30167.9 441.076
8.2 29302.4 449.404
8.3 28499.5 398.972
8.4 27621.1 401.652
8.5 26980.4 389.397
8.6 26070.9 383.774
8.7 25198.3 375.337
8.8 24247.1 352.778
8.9 23297.2 351.252
9 22436.4 350.966
9.1 21501.9 351.589
9.2 20841.4 325.614
9.3 20146.7 315.782
9.4 19745.8 327.941
9.5 19504.6 322.643
9.6 19260.7 320.254
9.7 19161.5 314.515
9.8 19148.5 307.742
9.9 19185.5 306.818
10 19362.9 299.293

