q[nm-1]	merged(TipAS_1.96mgml-1_25deg_sub_ave_cm-1_divconc_nm-1.dat_00001_[493]TipAS_NaP_25deg_1-2_ave_sub_cm-1_divconc.dat_00001_[TipAS_NaP_25deg_1-2_ave_sub.dat],scale_high,lq=0.9025,hq=1.0068)	error
1.14692100e-01	2.62067500e-02	2.38457400e-03
1.27435600e-01	1.65677900e-02	1.67722600e-03
1.40179000e-01	1.83063600e-02	1.58025900e-03
1.52922400e-01	1.83179600e-02	1.37944800e-03
1.65665800e-01	1.58570700e-02	1.22798400e-03
1.78409200e-01	1.72212600e-02	1.21912100e-03
1.91152500e-01	1.56037700e-02	1.06071200e-03
2.03895700e-01	1.37239600e-02	1.04408500e-03
2.16639000e-01	1.92250500e-02	9.45111700e-04
2.29382100e-01	1.64919300e-02	9.08640800e-04
2.42125300e-01	1.59146600e-02	8.51418900e-04
2.54868300e-01	1.69348100e-02	7.97429100e-04
2.67611300e-01	1.56380000e-02	7.54079100e-04
2.80354300e-01	1.52594800e-02	6.95590800e-04
2.93097200e-01	1.50694100e-02	6.73440800e-04
3.05840000e-01	1.58210000e-02	6.30406100e-04
3.18582800e-01	1.51693600e-02	5.91868400e-04
3.31325500e-01	1.50929500e-02	5.76565300e-04
3.44068100e-01	1.39408800e-02	5.29066800e-04
3.56810600e-01	1.39752100e-02	5.34936200e-04
3.69553100e-01	1.33158700e-02	4.99340000e-04
3.82295500e-01	1.37662200e-02	4.95213600e-04
3.95037800e-01	1.26854900e-02	4.74784300e-04
4.07780000e-01	1.30291100e-02	4.55494600e-04
4.20522100e-01	1.16700300e-02	4.57216200e-04
4.33264100e-01	1.14485400e-02	4.31756300e-04
4.46006100e-01	1.13991000e-02	4.42708000e-04
4.58747900e-01	1.13486000e-02	4.18996200e-04
4.71489600e-01	1.05065800e-02	4.10119900e-04
4.84231300e-01	1.04622400e-02	4.15964200e-04
4.96972800e-01	1.06965800e-02	3.93168100e-04
5.09714200e-01	1.12596700e-02	3.97947200e-04
5.22455500e-01	1.03500400e-02	3.73340400e-04
5.35196700e-01	1.04081700e-02	3.79365800e-04
5.47937800e-01	9.39272400e-03	3.73711400e-04
5.60678700e-01	1.01209700e-02	3.59697000e-04
5.73419600e-01	9.15998500e-03	3.59614500e-04
