Sample description: Sample c= 1.79 mg/ml
Sample: Sample c= 1.79   c= 1.79 mg/ml  Code: TipAS_NaP
Parent(s): TipAS_NaP_20deg_1-2_ave_sub.dat
  6.931714e-01   8.877993e-03   4.275681e-05
  6.983332e-01   8.866998e-03   4.249085e-05
  7.034950e-01   8.769536e-03   4.150611e-05
  7.086567e-01   8.589131e-03   4.188273e-05
  7.138185e-01   8.551909e-03   4.148917e-05
  7.189803e-01   8.465506e-03   4.066112e-05
  7.241420e-01   8.339442e-03   4.075792e-05
  7.293038e-01   8.253641e-03   4.054317e-05
  7.344655e-01   8.216515e-03   3.974238e-05
  7.396273e-01   8.106373e-03   3.968563e-05
  7.447891e-01   7.942658e-03   3.952644e-05
  7.499508e-01   7.920778e-03   3.902200e-05
  7.551126e-01   7.799678e-03   3.917265e-05
  7.602744e-01   7.732027e-03   3.901959e-05
  7.654361e-01   7.598324e-03   3.836823e-05
  7.705979e-01   7.509424e-03   3.858668e-05
  7.757596e-01   7.413020e-03   3.848767e-05
  7.809214e-01   7.339804e-03   3.800171e-05
  7.860831e-01   7.350811e-03   3.799595e-05
  7.912449e-01   7.198120e-03   3.769769e-05
  7.964066e-01   7.064978e-03   3.722948e-05
  8.015684e-01   7.047720e-03   3.744884e-05
  8.067302e-01   6.968439e-03   3.718999e-05
  8.118919e-01   6.909628e-03   3.664392e-05
  8.170537e-01   6.777736e-03   3.670355e-05
  8.222154e-01   6.702875e-03   3.628278e-05
  8.273772e-01   6.621535e-03   3.607132e-05
  8.325390e-01   6.606049e-03   3.601869e-05
  8.377007e-01   6.518576e-03   3.599653e-05
  8.428625e-01   6.407124e-03   3.548138e-05
  8.480242e-01   6.455986e-03   3.543805e-05
  8.531860e-01   6.302354e-03   3.547640e-05
  8.583478e-01   6.163768e-03   3.506128e-05
  8.635095e-01   6.130957e-03   3.508082e-05
  8.686713e-01   6.070587e-03   3.494643e-05
  8.738331e-01   6.018905e-03   3.457056e-05
  8.789948e-01   5.878217e-03   3.458519e-05
  8.841566e-01   5.849016e-03   3.459936e-05
  8.893183e-01   5.685605e-03   3.420521e-05
  8.944801e-01   5.736408e-03   3.408793e-05
  8.996419e-01   5.653807e-03   3.404417e-05
  9.048036e-01   5.531838e-03   3.363349e-05
  9.099654e-01   5.564662e-03   3.380302e-05
  9.151272e-01   5.474467e-03   3.357191e-05
  9.202889e-01   5.357985e-03   3.316193e-05
  9.254507e-01   5.375220e-03   3.341073e-05
  9.306124e-01   5.266669e-03   3.311694e-05
  9.357742e-01   5.188477e-03   3.288749e-05
  9.409359e-01   5.168512e-03   3.276581e-05
  9.460977e-01   5.086611e-03   3.276092e-05
  9.512594e-01   5.068067e-03   3.253245e-05
  9.564212e-01   4.916843e-03   3.245641e-05
  9.615830e-01   4.906813e-03   3.237529e-05
  9.667447e-01   4.820407e-03   3.191144e-05
  9.719065e-01   4.792232e-03   3.200004e-05
  9.770682e-01   4.699177e-03   3.190807e-05
  9.822300e-01   4.656359e-03   3.187988e-05
  9.873918e-01   4.606301e-03   3.238105e-05
  9.925535e-01   4.594944e-03   3.237221e-05
  9.977153e-01   4.466016e-03   3.239572e-05
  1.002877e+00   4.457368e-03   3.257631e-05
  1.008039e+00   4.424274e-03   3.269613e-05
  1.013201e+00   4.426242e-03   3.268262e-05
  1.018362e+00   4.279820e-03   3.281109e-05
  1.023524e+00   4.288639e-03   3.300488e-05
  1.028686e+00   4.178573e-03   3.255579e-05
  1.033848e+00   4.131299e-03   3.268740e-05
