Sample description: Sample c= 1.79 mg/ml
Sample: Sample c= 1.79   c= 1.79 mg/ml  Code: TipAS_NaP
Parent(s): TipAS_NaP_35deg_1-2_ave_sub.dat
  5.311318e-02   2.698792e-02   1.307103e-03
  5.827494e-02   2.928514e-02   8.716094e-04
  6.343670e-02   2.672263e-02   6.700221e-04
  6.859846e-02   2.847443e-02   5.439845e-04
  7.376022e-02   2.705817e-02   4.751827e-04
  7.892198e-02   2.749653e-02   4.179263e-04
  8.408374e-02   2.677378e-02   3.692168e-04
  8.924550e-02   2.645035e-02   3.226560e-04
  9.440726e-02   2.635839e-02   2.942245e-04
  9.956902e-02   2.574966e-02   2.714913e-04
  1.047308e-01   2.578100e-02   2.458235e-04
  1.098925e-01   2.574998e-02   2.263721e-04
  1.150543e-01   2.533569e-02   2.106195e-04
  1.202161e-01   2.532332e-02   1.972400e-04
  1.253778e-01   2.531518e-02   1.881341e-04
  1.305396e-01   2.517413e-02   1.767715e-04
  1.357013e-01   2.473511e-02   1.658533e-04
  1.408631e-01   2.456336e-02   1.600772e-04
  1.460249e-01   2.425357e-02   1.496349e-04
  1.511866e-01   2.446887e-02   1.465231e-04
  1.563484e-01   2.394183e-02   1.398469e-04
  1.615101e-01   2.369303e-02   1.337239e-04
  1.666719e-01   2.357564e-02   1.304455e-04
  1.718337e-01   2.339394e-02   1.264285e-04
  1.769954e-01   2.318495e-02   1.206929e-04
  1.821572e-01   2.324625e-02   1.182190e-04
  1.873190e-01   2.285304e-02   1.151712e-04
  1.924807e-01   2.274078e-02   1.120641e-04
  1.976425e-01   2.228822e-02   1.097370e-04
  2.028042e-01   2.231213e-02   1.075880e-04
  2.079660e-01   2.190199e-02   1.035078e-04
  2.131277e-01   2.168484e-02   1.024982e-04
  2.182895e-01   2.161149e-02   1.009319e-04
  2.234513e-01   2.146110e-02   9.845041e-05
  2.286130e-01   2.111718e-02   9.714113e-05
  2.337748e-01   2.110207e-02   9.549663e-05
  2.389365e-01   2.086158e-02   9.235007e-05
  2.440983e-01   2.057546e-02   9.178933e-05
  2.492601e-01   2.039194e-02   9.087635e-05
  2.544218e-01   2.015782e-02   8.815065e-05
  2.595836e-01   1.993361e-02   8.753493e-05
  2.647454e-01   1.981639e-02   8.598657e-05
  2.699071e-01   1.961787e-02   8.375051e-05
  2.750689e-01   1.955547e-02   8.412835e-05
  2.802306e-01   1.906340e-02   8.235913e-05
  2.853924e-01   1.900570e-02   8.048373e-05
  2.905541e-01   1.871900e-02   8.091325e-05
  2.957159e-01   1.863767e-02   8.196531e-05
  3.008777e-01   1.841209e-02   8.163755e-05
  3.060394e-01   1.818618e-02   8.221130e-05
  3.112012e-01   1.788199e-02   8.081791e-05
  3.163629e-01   1.785003e-02   8.024841e-05
  3.215247e-01   1.744019e-02   8.041294e-05
  3.266865e-01   1.719786e-02   7.963968e-05
  3.318482e-01   1.719229e-02   7.910767e-05
  3.370100e-01   1.694177e-02   7.847334e-05
  3.421718e-01   1.664118e-02   7.825301e-05
  3.473335e-01   1.643003e-02   7.810408e-05
  3.524953e-01   1.620682e-02   7.763483e-05
  3.576570e-01   1.611341e-02   7.498090e-05
  3.628188e-01   1.606490e-02   7.218282e-05
  3.679805e-01   1.574822e-02   7.224690e-05
  3.731423e-01   1.560695e-02   7.098012e-05
  3.783041e-01   1.554266e-02   6.914022e-05
  3.834658e-01   1.535575e-02   6.871958e-05
  3.886276e-01   1.501731e-02   6.795980e-05
  3.937894e-01   1.477092e-02   6.666025e-05
  3.989511e-01   1.470659e-02   6.662775e-05
  4.041129e-01   1.453237e-02   6.584111e-05
  4.092746e-01   1.435844e-02   6.405685e-05
  4.144364e-01   1.406100e-02   6.396032e-05
  4.195982e-01   1.401957e-02   6.366378e-05
  4.247599e-01   1.383191e-02   6.233451e-05
  4.299217e-01   1.373581e-02   6.219041e-05
  4.350834e-01   1.354495e-02   6.138504e-05
  4.402452e-01   1.338203e-02   6.028823e-05
