Sample description: Sample c= 1.79 mg/ml
Sample: Sample c= 1.79   c= 1.79 mg/ml  Code: TipAS_NaP
Parent(s): TipAS_NaP_30deg_1-2_ave_sub.dat
  5.311318e-02   2.783616e-02   1.208651e-03
  5.827494e-02   2.887960e-02   8.060130e-04
  6.343670e-02   2.757414e-02   6.196708e-04
  6.859846e-02   2.827774e-02   5.044771e-04
  7.376022e-02   2.721506e-02   4.409576e-04
  7.892198e-02   2.803814e-02   3.889218e-04
  8.408374e-02   2.708674e-02   3.444284e-04
  8.924550e-02   2.699007e-02   3.013639e-04
  9.440726e-02   2.648742e-02   2.752374e-04
  9.956902e-02   2.674227e-02   2.551574e-04
  1.047308e-01   2.660009e-02   2.313128e-04
  1.098925e-01   2.600042e-02   2.129036e-04
  1.150543e-01   2.598563e-02   1.989561e-04
  1.202161e-01   2.535351e-02   1.865167e-04
  1.253778e-01   2.525350e-02   1.780046e-04
  1.305396e-01   2.535861e-02   1.680999e-04
  1.357013e-01   2.551533e-02   1.581393e-04
  1.408631e-01   2.484822e-02   1.524412e-04
  1.460249e-01   2.476447e-02   1.428517e-04
  1.511866e-01   2.449997e-02   1.400815e-04
  1.563484e-01   2.466718e-02   1.341055e-04
  1.615101e-01   2.447656e-02   1.285301e-04
  1.666719e-01   2.393800e-02   1.252206e-04
  1.718337e-01   2.394097e-02   1.217787e-04
  1.769954e-01   2.358145e-02   1.163286e-04
  1.821572e-01   2.361515e-02   1.142071e-04
  1.873190e-01   2.322957e-02   1.107289e-04
  1.924807e-01   2.329409e-02   1.082083e-04
  1.976425e-01   2.306390e-02   1.061045e-04
  2.028042e-01   2.278057e-02   1.037879e-04
  2.079660e-01   2.275247e-02   1.003224e-04
  2.131277e-01   2.252871e-02   9.945994e-05
  2.182895e-01   2.226638e-02   9.790733e-05
  2.234513e-01   2.194171e-02   9.528780e-05
  2.286130e-01   2.165066e-02   9.420316e-05
  2.337748e-01   2.162530e-02   9.245561e-05
  2.389365e-01   2.149239e-02   8.973408e-05
  2.440983e-01   2.126698e-02   8.889164e-05
  2.492601e-01   2.099281e-02   8.807160e-05
  2.544218e-01   2.075848e-02   8.576691e-05
