Sample description: Sample c= 1.79 mg/ml
Sample: Sample c= 1.79   c= 1.79 mg/ml  Code: TipAS_NaP
Parent(s): TipAS_NaP_25deg_1-2_ave_sub.dat
  5.311318e-02   2.673384e-02   1.187657e-03
  5.827494e-02   2.820757e-02   7.922410e-04
  6.343670e-02   2.724460e-02   6.071492e-04
  6.859846e-02   2.837655e-02   4.946138e-04
  7.376022e-02   2.638408e-02   4.311409e-04
  7.892198e-02   2.644560e-02   3.797781e-04
  8.408374e-02   2.696501e-02   3.362149e-04
  8.924550e-02   2.698276e-02   2.942370e-04
  9.440726e-02   2.666955e-02   2.685006e-04
  9.956902e-02   2.678463e-02   2.486288e-04
  1.047308e-01   2.607081e-02   2.248165e-04
  1.098925e-01   2.627961e-02   2.071216e-04
  1.150543e-01   2.597433e-02   1.937440e-04
  1.202161e-01   2.608699e-02   1.817617e-04
  1.253778e-01   2.533824e-02   1.730008e-04
  1.305396e-01   2.548413e-02   1.630993e-04
  1.357013e-01   2.542308e-02   1.535021e-04
  1.408631e-01   2.544868e-02   1.484344e-04
  1.460249e-01   2.528037e-02   1.389385e-04
  1.511866e-01   2.493969e-02   1.360125e-04
  1.563484e-01   2.474905e-02   1.298979e-04
  1.615101e-01   2.471609e-02   1.245272e-04
  1.666719e-01   2.432292e-02   1.217460e-04
  1.718337e-01   2.401752e-02   1.177801e-04
  1.769954e-01   2.382741e-02   1.126456e-04
  1.821572e-01   2.392827e-02   1.105934e-04
  1.873190e-01   2.382493e-02   1.076194e-04
  1.924807e-01   2.373103e-02   1.048530e-04
  1.976425e-01   2.331852e-02   1.027788e-04
  2.028042e-01   2.333100e-02   1.004626e-04
  2.079660e-01   2.306682e-02   9.710486e-05
  2.131277e-01   2.291235e-02   9.628208e-05
  2.182895e-01   2.271173e-02   9.503300e-05
  2.234513e-01   2.234298e-02   9.227391e-05
  2.286130e-01   2.213833e-02   9.139632e-05
  2.337748e-01   2.210559e-02   8.971113e-05
  2.389365e-01   2.186356e-02   8.700758e-05
  2.440983e-01   2.166734e-02   8.614291e-05
  2.492601e-01   2.139910e-02   8.521861e-05
  2.544218e-01   2.127111e-02   8.301561e-05
  2.595836e-01   2.106211e-02   8.232317e-05
  2.647454e-01   2.092757e-02   8.099014e-05
  2.699071e-01   2.075515e-02   7.901046e-05
  2.750689e-01   2.049109e-02   7.925114e-05
  2.802306e-01   2.037699e-02   7.775629e-05
  2.853924e-01   2.018435e-02   7.591580e-05
  2.905541e-01   1.997542e-02   7.633587e-05
  2.957159e-01   1.953720e-02   7.713922e-05
  3.008777e-01   1.954486e-02   7.704449e-05
  3.060394e-01   1.914701e-02   7.748701e-05
  3.112012e-01   1.914591e-02   7.625906e-05
  3.163629e-01   1.890415e-02   7.555703e-05
  3.215247e-01   1.867767e-02   7.581676e-05
  3.266865e-01   1.858438e-02   7.537662e-05
  3.318482e-01   1.831647e-02   7.466589e-05
  3.370100e-01   1.814868e-02   7.395888e-05
  3.421718e-01   1.789102e-02   7.386661e-05
  3.473335e-01   1.771002e-02   7.369314e-05
  3.524953e-01   1.759233e-02   7.326761e-05
  3.576570e-01   1.742697e-02   7.077191e-05
  3.628188e-01   1.732278e-02   6.815627e-05
  3.679805e-01   1.713137e-02   6.831144e-05
  3.731423e-01   1.687281e-02   6.698195e-05
  3.783041e-01   1.681129e-02   6.529914e-05
  3.834658e-01   1.649979e-02   6.486518e-05
  3.886276e-01   1.629974e-02   6.408887e-05
  3.937894e-01   1.606925e-02   6.301735e-05
  3.989511e-01   1.601795e-02   6.286293e-05
  4.041129e-01   1.580790e-02   6.212361e-05
  4.092746e-01   1.562817e-02   6.042498e-05
  4.144364e-01   1.540702e-02   6.031321e-05
  4.195982e-01   1.524300e-02   6.004482e-05
  4.247599e-01   1.517333e-02   5.881938e-05
  4.299217e-01   1.492940e-02   5.868564e-05
  4.350834e-01   1.480399e-02   5.781642e-05
  4.402452e-01   1.470666e-02   5.683583e-05
  4.454069e-01   1.459493e-02   5.688842e-05
  4.505687e-01   1.432341e-02   5.653001e-05
  4.557305e-01   1.414323e-02   5.504112e-05
  4.608922e-01   1.404393e-02   5.532471e-05
  4.660540e-01   1.378549e-02   5.475736e-05
  4.712158e-01   1.370809e-02   5.538214e-05
  4.763775e-01   1.355686e-02   5.584555e-05
  4.815393e-01   1.345541e-02   5.586819e-05
  4.867010e-01   1.324612e-02   5.534923e-05
  4.918628e-01   1.308568e-02   5.570616e-05
  4.970246e-01   1.287264e-02   5.532143e-05
  5.021863e-01   1.275408e-02   5.516994e-05
  5.073481e-01   1.267697e-02   5.499754e-05
  5.125098e-01   1.241624e-02   5.496790e-05
  5.176716e-01   1.245565e-02   5.483712e-05
  5.228333e-01   1.216087e-02   5.458201e-05
  5.279951e-01   1.209890e-02   5.463845e-05
  5.331569e-01   1.194422e-02   5.331389e-05
  5.383186e-01   1.195905e-02   5.298234e-05
  5.434804e-01   1.173822e-02   5.218198e-05
  5.486422e-01   1.156006e-02   5.087925e-05
  5.538039e-01   1.147587e-02   5.065767e-05
  5.589657e-01   1.131575e-02   5.025371e-05
  5.641274e-01   1.121553e-02   4.919847e-05
  5.692892e-01   1.103828e-02   4.937695e-05
  5.744510e-01   1.090482e-02   4.916579e-05
  5.796127e-01   1.083024e-02   4.805328e-05
  5.847745e-01   1.078707e-02   4.796703e-05
  5.899363e-01   1.051817e-02   4.773823e-05
  5.950980e-01   1.040995e-02   4.690475e-05
  6.002598e-01   1.027353e-02   4.679862e-05
  6.054215e-01   1.020751e-02   4.666268e-05
  6.105833e-01   1.009589e-02   4.589783e-05
  6.157451e-01   9.940224e-03   4.589066e-05
  6.209068e-01   9.830748e-03   4.566473e-05
  6.260686e-01   9.742716e-03   4.479176e-05
  6.312303e-01   9.694443e-03   4.490052e-05
  6.363921e-01   9.555136e-03   4.492953e-05
  6.415538e-01   9.461848e-03   4.378956e-05
  6.467156e-01   9.334973e-03   4.395758e-05
  6.518773e-01   9.261066e-03   4.377298e-05
  6.570391e-01   9.171252e-03   4.321607e-05
  6.622009e-01   9.069385e-03   4.389239e-05
  6.673626e-01   8.918361e-03   4.433027e-05
  6.725244e-01   8.851846e-03   4.373046e-05
  6.776862e-01   8.617686e-03   4.398064e-05
  6.828479e-01   8.578256e-03   4.453463e-05
  6.880097e-01   8.511332e-03   4.327345e-05
  6.931714e-01   8.463813e-03   4.289616e-05
  6.983332e-01   8.363679e-03   4.251515e-05
  7.034950e-01   8.264724e-03   4.149527e-05
  7.086567e-01   8.123114e-03   4.198167e-05
  7.138185e-01   8.057754e-03   4.153971e-05
  7.189803e-01   7.889940e-03   4.071883e-05
  7.241420e-01   7.867272e-03   4.081493e-05
  7.293038e-01   7.707964e-03   4.063880e-05
  7.344655e-01   7.651377e-03   3.980585e-05
  7.396273e-01   7.573117e-03   3.972243e-05
  7.447891e-01   7.598665e-03   3.964896e-05
  7.499508e-01   7.466284e-03   3.909662e-05
  7.551126e-01   7.370592e-03   3.925977e-05
  7.602744e-01   7.271897e-03   3.906081e-05
