Sample description: Sample c= 1.79 mg/ml
Sample: Sample c= 1.79   c= 1.79 mg/ml  Code: TipAS_NaP
Parent(s): TipAS_NaP_40deg_1-2_ave_sub.dat
  5.311318e-02   2.739247e-02   1.159808e-03
  5.827494e-02   2.819731e-02   7.780010e-04
  6.343670e-02   2.717798e-02   5.993125e-04
  6.859846e-02   2.739269e-02   4.911225e-04
  7.376022e-02   2.744726e-02   4.297309e-04
  7.892198e-02   2.574275e-02   3.779960e-04
  8.408374e-02   2.622132e-02   3.357131e-04
  8.924550e-02   2.570675e-02   2.936335e-04
  9.440726e-02   2.608987e-02   2.690444e-04
  9.956902e-02   2.555763e-02   2.495528e-04
  1.047308e-01   2.540950e-02   2.261645e-04
  1.098925e-01   2.539367e-02   2.081388e-04
  1.150543e-01   2.507695e-02   1.949449e-04
  1.202161e-01   2.485363e-02   1.830397e-04
  1.253778e-01   2.447688e-02   1.744776e-04
  1.305396e-01   2.411318e-02   1.645311e-04
  1.357013e-01   2.406405e-02   1.549849e-04
  1.408631e-01   2.390295e-02   1.498076e-04
  1.460249e-01   2.353189e-02   1.402930e-04
  1.511866e-01   2.387890e-02   1.377232e-04
  1.563484e-01   2.347836e-02   1.316219e-04
  1.615101e-01   2.316139e-02   1.259437e-04
  1.666719e-01   2.313211e-02   1.234654e-04
  1.718337e-01   2.294388e-02   1.196706e-04
  1.769954e-01   2.249986e-02   1.143965e-04
  1.821572e-01   2.243214e-02   1.120990e-04
  1.873190e-01   2.213803e-02   1.089267e-04
  1.924807e-01   2.201221e-02   1.062727e-04
  1.976425e-01   2.172800e-02   1.042334e-04
  2.028042e-01   2.150913e-02   1.019685e-04
  2.079660e-01   2.134485e-02   9.847321e-05
  2.131277e-01   2.115439e-02   9.760605e-05
  2.182895e-01   2.087351e-02   9.612567e-05
  2.234513e-01   2.075868e-02   9.370341e-05
  2.286130e-01   2.033362e-02   9.254854e-05
  2.337748e-01   2.034187e-02   9.090380e-05
  2.389365e-01   2.003910e-02   8.809102e-05
  2.440983e-01   1.996808e-02   8.745708e-05
  2.492601e-01   1.964609e-02   8.645743e-05
  2.544218e-01   1.937401e-02   8.397089e-05
  2.595836e-01   1.919243e-02   8.346849e-05
  2.647454e-01   1.899473e-02   8.209404e-05
  2.699071e-01   1.884151e-02   7.997263e-05
  2.750689e-01   1.861293e-02   8.021035e-05
  2.802306e-01   1.839083e-02   7.857664e-05
  2.853924e-01   1.807716e-02   7.671275e-05
  2.905541e-01   1.794332e-02   7.715505e-05
  2.957159e-01   1.774718e-02   7.808413e-05
  3.008777e-01   1.753252e-02   7.783556e-05
  3.060394e-01   1.733234e-02   7.831938e-05
  3.112012e-01   1.705331e-02   7.709578e-05
  3.163629e-01   1.682394e-02   7.633178e-05
  3.215247e-01   1.671428e-02   7.661416e-05
  3.266865e-01   1.649029e-02   7.601745e-05
  3.318482e-01   1.639458e-02   7.526408e-05
  3.370100e-01   1.603241e-02   7.455201e-05
  3.421718e-01   1.576750e-02   7.452466e-05
  3.473335e-01   1.551660e-02   7.428160e-05
  3.524953e-01   1.552557e-02   7.394427e-05
  3.576570e-01   1.538127e-02   7.137400e-05
  3.628188e-01   1.500068e-02   6.852611e-05
  3.679805e-01   1.495172e-02   6.868568e-05
  3.731423e-01   1.467566e-02   6.737268e-05
  3.783041e-01   1.446587e-02   6.559268e-05
  3.834658e-01   1.438032e-02   6.530771e-05
  3.886276e-01   1.416116e-02   6.444095e-05
  3.937894e-01   1.393081e-02   6.326596e-05
  3.989511e-01   1.371442e-02   6.311056e-05
  4.041129e-01   1.360031e-02   6.245417e-05
  4.092746e-01   1.346219e-02   6.074779e-05
  4.144364e-01   1.330243e-02   6.068690e-05
  4.195982e-01   1.314424e-02   6.035812e-05
  4.247599e-01   1.299220e-02   5.900572e-05
  4.299217e-01   1.280679e-02   5.891838e-05
  4.350834e-01   1.256510e-02   5.808512e-05
  4.402452e-01   1.253208e-02   5.710658e-05
  4.454069e-01   1.234330e-02   5.695657e-05
  4.505687e-01   1.205481e-02   5.668066e-05
  4.557305e-01   1.207660e-02   5.523490e-05
  4.608922e-01   1.173617e-02   5.543141e-05
  4.660540e-01   1.159748e-02   5.483201e-05
  4.712158e-01   1.158443e-02   5.550117e-05
  4.763775e-01   1.140926e-02   5.597867e-05
  4.815393e-01   1.124927e-02   5.588268e-05
  4.867010e-01   1.110255e-02   5.537999e-05
  4.918628e-01   1.080105e-02   5.577651e-05
