Sample description: Sample c= 1.79 mg/ml
Sample: Sample c= 1.79   c= 1.79 mg/ml  Code: TipAS_NaP
Parent(s): TipAS_NaP_30degBACK_1-2_ave_sub.dat
  5.311318e-02   2.638107e-02   1.119442e-03
  5.827494e-02   2.782930e-02   7.561456e-04
  6.343670e-02   2.861226e-02   5.806534e-04
  6.859846e-02   2.772183e-02   4.785354e-04
  7.376022e-02   2.681068e-02   4.181294e-04
  7.892198e-02   2.727607e-02   3.687967e-04
  8.408374e-02   2.646272e-02   3.273863e-04
  8.924550e-02   2.586551e-02   2.861864e-04
  9.440726e-02   2.562439e-02   2.623265e-04
  9.956902e-02   2.538417e-02   2.425412e-04
  1.047308e-01   2.551701e-02   2.200740e-04
  1.098925e-01   2.503311e-02   2.025625e-04
  1.150543e-01   2.477445e-02   1.893655e-04
  1.202161e-01   2.450922e-02   1.776103e-04
  1.253778e-01   2.413929e-02   1.694881e-04
  1.305396e-01   2.427008e-02   1.599076e-04
  1.357013e-01   2.413880e-02   1.503496e-04
  1.408631e-01   2.389930e-02   1.453102e-04
  1.460249e-01   2.376001e-02   1.362473e-04
  1.511866e-01   2.357272e-02   1.333647e-04
  1.563484e-01   2.356952e-02   1.278338e-04
  1.615101e-01   2.329821e-02   1.223809e-04
  1.666719e-01   2.264248e-02   1.194654e-04
  1.718337e-01   2.288804e-02   1.159243e-04
  1.769954e-01   2.271926e-02   1.111152e-04
  1.821572e-01   2.247855e-02   1.086393e-04
  1.873190e-01   2.246256e-02   1.060012e-04
  1.924807e-01   2.219605e-02   1.032166e-04
  1.976425e-01   2.200062e-02   1.012608e-04
  2.028042e-01   2.177130e-02   9.908435e-05
  2.079660e-01   2.164285e-02   9.568146e-05
  2.131277e-01   2.133607e-02   9.472514e-05
  2.182895e-01   2.130945e-02   9.351497e-05
  2.234513e-01   2.102335e-02   9.106158e-05
  2.286130e-01   2.105873e-02   9.034883e-05
  2.337748e-01   2.088006e-02   8.858314e-05
  2.389365e-01   2.052038e-02   8.582566e-05
  2.440983e-01   2.061998e-02   8.534790e-05
  2.492601e-01   2.031042e-02   8.436398e-05
  2.544218e-01   2.016555e-02   8.218176e-05
  2.595836e-01   2.002024e-02   8.152945e-05
  2.647454e-01   1.988797e-02   8.018017e-05
  2.699071e-01   1.949077e-02   7.797257e-05
  2.750689e-01   1.947213e-02   7.835632e-05
  2.802306e-01   1.928768e-02   7.678969e-05
  2.853924e-01   1.904553e-02   7.513877e-05
  2.905541e-01   1.891993e-02   7.557425e-05
  2.957159e-01   1.877653e-02   7.647302e-05
  3.008777e-01   1.846467e-02   7.625655e-05
  3.060394e-01   1.837506e-02   7.681251e-05
  3.112012e-01   1.812013e-02   7.552682e-05
  3.163629e-01   1.806774e-02   7.507223e-05
  3.215247e-01   1.783496e-02   7.523251e-05
  3.266865e-01   1.760413e-02   7.458958e-05
  3.318482e-01   1.748132e-02   7.404492e-05
  3.370100e-01   1.724131e-02   7.336463e-05
  3.421718e-01   1.704072e-02   7.324614e-05
  3.473335e-01   1.702823e-02   7.312894e-05
  3.524953e-01   1.682465e-02   7.271677e-05
  3.576570e-01   1.654637e-02   7.021214e-05
  3.628188e-01   1.635184e-02   6.755131e-05
  3.679805e-01   1.623006e-02   6.773437e-05
  3.731423e-01   1.606047e-02   6.642181e-05
  3.783041e-01   1.593185e-02   6.477493e-05
  3.834658e-01   1.581524e-02   6.446068e-05
  3.886276e-01   1.548203e-02   6.359590e-05
  3.937894e-01   1.538287e-02   6.252542e-05
  3.989511e-01   1.512726e-02   6.236248e-05
  4.041129e-01   1.500005e-02   6.171246e-05
  4.092746e-01   1.500839e-02   6.005038e-05
