Sample description: Sample c= 1.79 mg/ml
Sample: Sample c= 1.79   c= 1.79 mg/ml  Code: TipAS_NaP
Parent(s): TipAS_NaP_20degBACK_1-2_ave_sub.dat
  6.931714e-01   9.214759e-03   4.342669e-05
  6.983332e-01   9.096704e-03   4.307355e-05
  7.034950e-01   9.011296e-03   4.208563e-05
  7.086567e-01   8.913738e-03   4.252631e-05
  7.138185e-01   8.827079e-03   4.205551e-05
  7.189803e-01   8.748838e-03   4.124852e-05
  7.241420e-01   8.613167e-03   4.134393e-05
  7.293038e-01   8.573481e-03   4.113826e-05
  7.344655e-01   8.416406e-03   4.027364e-05
  7.396273e-01   8.343960e-03   4.027563e-05
  7.447891e-01   8.236659e-03   4.005086e-05
  7.499508e-01   8.167567e-03   3.955197e-05
  7.551126e-01   8.024760e-03   3.970678e-05
  7.602744e-01   8.030596e-03   3.957687e-05
  7.654361e-01   7.877441e-03   3.889779e-05
  7.705979e-01   7.767276e-03   3.913810e-05
  7.757596e-01   7.740505e-03   3.906235e-05
  7.809214e-01   7.645930e-03   3.855496e-05
  7.860831e-01   7.467570e-03   3.843285e-05
  7.912449e-01   7.445261e-03   3.828881e-05
  7.964066e-01   7.390185e-03   3.780677e-05
  8.015684e-01   7.320359e-03   3.800110e-05
  8.067302e-01   7.232137e-03   3.778302e-05
  8.118919e-01   7.163943e-03   3.722587e-05
  8.170537e-01   7.068165e-03   3.723539e-05
  8.222154e-01   7.059409e-03   3.691471e-05
  8.273772e-01   6.868761e-03   3.659062e-05
  8.325390e-01   6.839591e-03   3.652866e-05
  8.377007e-01   6.763609e-03   3.649990e-05
  8.428625e-01   6.702660e-03   3.599649e-05
  8.480242e-01   6.609192e-03   3.590076e-05
  8.531860e-01   6.609689e-03   3.601187e-05
  8.583478e-01   6.476440e-03   3.555341e-05
  8.635095e-01   6.365423e-03   3.557023e-05
  8.686713e-01   6.307832e-03   3.545668e-05
  8.738331e-01   6.246870e-03   3.509353e-05
  8.789948e-01   6.168404e-03   3.513600e-05
  8.841566e-01   6.113947e-03   3.508498e-05
  8.893183e-01   6.049438e-03   3.475548e-05
  8.944801e-01   5.986189e-03   3.461317e-05
  8.996419e-01   5.978132e-03   3.460047e-05
  9.048036e-01   5.809741e-03   3.416845e-05
  9.099654e-01   5.766550e-03   3.429510e-05
  9.151272e-01   5.652817e-03   3.404549e-05
  9.202889e-01   5.662690e-03   3.367552e-05
  9.254507e-01   5.516020e-03   3.388194e-05
  9.306124e-01   5.557188e-03   3.363375e-05
  9.357742e-01   5.477969e-03   3.337658e-05
  9.409359e-01   5.387204e-03   3.323893e-05
  9.460977e-01   5.313590e-03   3.325192e-05
  9.512594e-01   5.273269e-03   3.298159e-05
  9.564212e-01   5.164808e-03   3.292034e-05
  9.615830e-01   5.176192e-03   3.287040e-05
  9.667447e-01   5.130326e-03   3.244498e-05
  9.719065e-01   5.044654e-03   3.244010e-05
  9.770682e-01   4.993412e-03   3.239166e-05
  9.822300e-01   4.924528e-03   3.236199e-05
  9.873918e-01   4.913368e-03   3.287300e-05
  9.925535e-01   4.752513e-03   3.283803e-05
  9.977153e-01   4.723988e-03   3.285581e-05
  1.002877e+00   4.645899e-03   3.303630e-05
  1.008039e+00   4.629462e-03   3.317419e-05
  1.013201e+00   4.591254e-03   3.316646e-05
  1.018362e+00   4.552243e-03   3.333525e-05
  1.023524e+00   4.508726e-03   3.352317e-05
  1.028686e+00   4.436797e-03   3.309125e-05
  1.033848e+00   4.326090e-03   3.317025e-05
  1.039009e+00   4.343759e-03   3.317588e-05
  1.044171e+00   4.341271e-03   3.291860e-05
  1.049333e+00   4.246458e-03   3.290495e-05
  1.054495e+00   4.213809e-03   3.310126e-05
  1.059656e+00   4.182976e-03   3.287713e-05
  1.064818e+00   4.174461e-03   3.292554e-05
  1.069980e+00   4.106993e-03   3.307474e-05
  1.075142e+00   4.062401e-03   3.263105e-05
  1.080303e+00   3.964131e-03   3.283104e-05
  1.085465e+00   3.877751e-03   3.288383e-05
  1.090627e+00   3.828271e-03   3.250703e-05
  1.095789e+00   3.823178e-03   3.266155e-05
  1.100950e+00   3.744972e-03   3.276495e-05
  1.106112e+00   3.748949e-03   3.235264e-05
  1.111274e+00   3.644998e-03   3.297029e-05
  1.116436e+00   3.679019e-03   3.334126e-05
  1.121598e+00   3.570854e-03   3.341944e-05
  1.126759e+00   3.589416e-03   3.366202e-05
  1.131921e+00   3.512420e-03   3.397169e-05
  1.137083e+00   3.450346e-03   3.380050e-05
  1.142245e+00   3.444051e-03   3.368290e-05
  1.147406e+00   3.404417e-03   3.395578e-05
  1.152568e+00   3.343150e-03   3.389169e-05
  1.157730e+00   3.341867e-03   3.399820e-05
  1.162892e+00   3.278834e-03   3.381417e-05
  1.168053e+00   3.213334e-03   3.371830e-05
  1.173215e+00   3.244051e-03   3.388381e-05
  1.178377e+00   3.138128e-03   3.320989e-05
  1.183539e+00   3.127358e-03   3.275353e-05
  1.188700e+00   3.048121e-03   3.315820e-05
  1.193862e+00   3.041006e-03   3.308839e-05
  1.199024e+00   3.019574e-03   3.274390e-05
  1.204186e+00   2.998726e-03   3.328597e-05
  1.209347e+00   2.932437e-03   3.310013e-05
  1.214509e+00   2.871860e-03   3.284324e-05
  1.219671e+00   2.923923e-03   3.308987e-05
  1.224833e+00   2.863396e-03   3.295053e-05
  1.229995e+00   2.880253e-03   3.262642e-05
  1.235156e+00   2.751365e-03   3.311016e-05
  1.240318e+00   2.767152e-03   3.283398e-05
  1.245480e+00   2.778598e-03   3.272670e-05
  1.250642e+00   2.735014e-03   3.285432e-05
  1.255803e+00   2.696474e-03   3.271137e-05
