Sample description: Sample c= 1.79 mg/ml
Sample: Sample c= 1.79   c= 1.79 mg/ml  Code: TipAS_NaP
Parent(s): TipAS_NaP_10deg_1-2_ave_sub.dat
  5.311318e-02   2.750854e-02   1.239705e-03
  5.827494e-02   3.146722e-02   8.264291e-04
  6.343670e-02   2.919762e-02   6.352031e-04
  6.859846e-02   3.006962e-02   5.171516e-04
  7.376022e-02   2.987046e-02   4.504996e-04
  7.892198e-02   2.966812e-02   3.968352e-04
  8.408374e-02   2.962795e-02   3.508151e-04
  8.924550e-02   2.940274e-02   3.066844e-04
  9.440726e-02   2.876263e-02   2.795786e-04
  9.956902e-02   2.844376e-02   2.586186e-04
  1.047308e-01   2.845735e-02   2.346362e-04
  1.098925e-01   2.813704e-02   2.154454e-04
  1.150543e-01   2.801599e-02   2.017349e-04
  1.202161e-01   2.796257e-02   1.886561e-04
  1.253778e-01   2.790766e-02   1.805228e-04
  1.305396e-01   2.738606e-02   1.698693e-04
  1.357013e-01   2.752659e-02   1.600994e-04
  1.408631e-01   2.726616e-02   1.549215e-04
  1.460249e-01   2.716530e-02   1.450318e-04
  1.511866e-01   2.706691e-02   1.420085e-04
  1.563484e-01   2.664605e-02   1.359067e-04
  1.615101e-01   2.670989e-02   1.301406e-04
  1.666719e-01   2.613939e-02   1.272632e-04
  1.718337e-01   2.612316e-02   1.233992e-04
  1.769954e-01   2.605026e-02   1.181508e-04
  1.821572e-01   2.591696e-02   1.159193e-04
  1.873190e-01   2.562517e-02   1.128603e-04
  1.924807e-01   2.559451e-02   1.098764e-04
  1.976425e-01   2.557419e-02   1.079173e-04
  2.028042e-01   2.527336e-02   1.056618e-04
  2.079660e-01   2.486230e-02   1.021075e-04
  2.131277e-01   2.475453e-02   1.012342e-04
  2.182895e-01   2.475815e-02   9.979043e-05
  2.234513e-01   2.452193e-02   9.717123e-05
  2.286130e-01   2.440239e-02   9.614910e-05
  2.337748e-01   2.416310e-02   9.455395e-05
  2.389365e-01   2.383756e-02   9.157738e-05
  2.440983e-01   2.378350e-02   9.097185e-05
  2.492601e-01   2.360824e-02   9.015550e-05
  2.544218e-01   2.342834e-02   8.785659e-05
  2.595836e-01   2.336563e-02   8.719064e-05
  2.647454e-01   2.297990e-02   8.564180e-05
  2.699071e-01   2.264282e-02   8.345003e-05
  2.750689e-01   2.268430e-02   8.377731e-05
  2.802306e-01   2.240497e-02   8.203490e-05
  2.853924e-01   2.212225e-02   8.029986e-05
  2.905541e-01   2.209450e-02   8.086887e-05
  2.957159e-01   2.186434e-02   8.181211e-05
  3.008777e-01   2.159893e-02   8.162616e-05
  3.060394e-01   2.148898e-02   8.217911e-05
  3.112012e-01   2.126363e-02   8.095571e-05
  3.163629e-01   2.097684e-02   8.024271e-05
  3.215247e-01   2.075024e-02   8.061928e-05
  3.266865e-01   2.072587e-02   7.988600e-05
  3.318482e-01   2.047613e-02   7.924361e-05
  3.370100e-01   2.029698e-02   7.864326e-05
  3.421718e-01   1.999715e-02   7.864322e-05
  3.473335e-01   1.986317e-02   7.844101e-05
  3.524953e-01   1.959399e-02   7.798316e-05
  3.576570e-01   1.950831e-02   7.537016e-05
  3.628188e-01   1.941052e-02   7.260477e-05
  3.679805e-01   1.911967e-02   7.260692e-05
  3.731423e-01   1.910616e-02   7.139341e-05
  3.783041e-01   1.888759e-02   6.962816e-05
  3.834658e-01   1.866822e-02   6.927347e-05
  3.886276e-01   1.844908e-02   6.839770e-05
  3.937894e-01   1.823501e-02   6.724405e-05
  3.989511e-01   1.808682e-02   6.717115e-05
  4.041129e-01   1.787524e-02   6.645271e-05
  4.092746e-01   1.763504e-02   6.455990e-05
  4.144364e-01   1.760668e-02   6.450753e-05
  4.195982e-01   1.736177e-02   6.421924e-05
  4.247599e-01   1.715120e-02   6.283895e-05
  4.299217e-01   1.702481e-02   6.286312e-05
  4.350834e-01   1.681244e-02   6.189965e-05
  4.402452e-01   1.664364e-02   6.085607e-05
  4.454069e-01   1.649152e-02   6.077572e-05
  4.505687e-01   1.630460e-02   6.060490e-05
  4.557305e-01   1.610860e-02   5.900088e-05
  4.608922e-01   1.592855e-02   5.922810e-05
  4.660540e-01   1.577698e-02   5.870003e-05
  4.712158e-01   1.565350e-02   5.933777e-05
  4.763775e-01   1.547969e-02   5.989045e-05
  4.815393e-01   1.533897e-02   5.979670e-05
  4.867010e-01   1.517739e-02   5.933382e-05
  4.918628e-01   1.500812e-02   5.977585e-05
  4.970246e-01   1.481903e-02   5.936933e-05
  5.021863e-01   1.463240e-02   5.917336e-05
  5.073481e-01   1.444132e-02   5.902880e-05
  5.125098e-01   1.438105e-02   5.902814e-05
  5.176716e-01   1.418289e-02   5.876325e-05
  5.228333e-01   1.402518e-02   5.861893e-05
  5.279951e-01   1.398559e-02   5.871685e-05
  5.331569e-01   1.375516e-02   5.736049e-05
  5.383186e-01   1.352200e-02   5.680480e-05
  5.434804e-01   1.341015e-02   5.600817e-05
  5.486422e-01   1.330056e-02   5.470356e-05
  5.538039e-01   1.317099e-02   5.435779e-05
  5.589657e-01   1.309626e-02   5.397938e-05
  5.641274e-01   1.292754e-02   5.284223e-05
  5.692892e-01   1.279785e-02   5.309393e-05
  5.744510e-01   1.247923e-02   5.283774e-05
  5.796127e-01   1.236016e-02   5.159527e-05
  5.847745e-01   1.231161e-02   5.143309e-05
  5.899363e-01   1.221768e-02   5.136230e-05
  5.950980e-01   1.207422e-02   5.048313e-05
  6.002598e-01   1.183216e-02   5.029550e-05
  6.054215e-01   1.183886e-02   5.012637e-05
  6.105833e-01   1.166990e-02   4.936534e-05
  6.157451e-01   1.148861e-02   4.937929e-05
  6.209068e-01   1.142763e-02   4.908871e-05
  6.260686e-01   1.130090e-02   4.811081e-05
  6.312303e-01   1.117220e-02   4.828719e-05
  6.363921e-01   1.106022e-02   4.829885e-05
  6.415538e-01   1.090573e-02   4.713600e-05
  6.467156e-01   1.073805e-02   4.728100e-05
  6.518773e-01   1.064321e-02   4.715550e-05
  6.570391e-01   1.056541e-02   4.639914e-05
  6.622009e-01   1.039606e-02   4.717124e-05
  6.673626e-01   1.026751e-02   4.764533e-05
  6.725244e-01   1.020302e-02   4.706928e-05
  6.776862e-01   1.009467e-02   4.732911e-05
  6.828479e-01   9.900297e-03   4.786673e-05
  6.880097e-01   9.858275e-03   4.658000e-05
  6.931714e-01   9.713399e-03   4.607521e-05
  6.983332e-01   9.614405e-03   4.579494e-05
  7.034950e-01   9.513741e-03   4.470659e-05
  7.086567e-01   9.350630e-03   4.516182e-05
  7.138185e-01   9.277863e-03   4.464563e-05
  7.189803e-01   9.234927e-03   4.381744e-05
  7.241420e-01   9.170185e-03   4.395291e-05
  7.293038e-01   8.994988e-03   4.370245e-05
  7.344655e-01   8.912679e-03   4.279449e-05
  7.396273e-01   8.736928e-03   4.278182e-05
  7.447891e-01   8.692933e-03   4.261985e-05
  7.499508e-01   8.570937e-03   4.205369e-05
  7.551126e-01   8.482953e-03   4.223751e-05
  7.602744e-01   8.367362e-03   4.205023e-05
  7.654361e-01   8.245623e-03   4.132367e-05
  7.705979e-01   8.187976e-03   4.164263e-05
  7.757596e-01   8.089503e-03   4.144801e-05
  7.809214e-01   7.985646e-03   4.103299e-05
  7.860831e-01   7.848868e-03   4.092196e-05
  7.912449e-01   7.722651e-03   4.071317e-05
  7.964066e-01   7.673409e-03   4.020020e-05
  8.015684e-01   7.598512e-03   4.040272e-05
  8.067302e-01   7.522866e-03   4.013998e-05
  8.118919e-01   7.398879e-03   3.958722e-05
  8.170537e-01   7.351120e-03   3.962165e-05
  8.222154e-01   7.289898e-03   3.922206e-05
  8.273772e-01   7.133934e-03   3.898432e-05
  8.325390e-01   7.023093e-03   3.885869e-05
  8.377007e-01   6.966063e-03   3.883980e-05
  8.428625e-01   6.930799e-03   3.837915e-05
  8.480242e-01   6.865501e-03   3.822250e-05
  8.531860e-01   6.762184e-03   3.828126e-05
  8.583478e-01   6.720607e-03   3.786566e-05
  8.635095e-01   6.620249e-03   3.783818e-05
  8.686713e-01   6.551354e-03   3.774023e-05
  8.738331e-01   6.396897e-03   3.731130e-05
  8.789948e-01   6.311980e-03   3.742450e-05
  8.841566e-01   6.376525e-03   3.737047e-05
  8.893183e-01   6.275367e-03   3.703456e-05
  8.944801e-01   6.148547e-03   3.686896e-05
  8.996419e-01   6.070134e-03   3.680058e-05
  9.048036e-01   6.030657e-03   3.636956e-05
  9.099654e-01   5.962431e-03   3.649160e-05
  9.151272e-01   5.934960e-03   3.628609e-05
  9.202889e-01   5.841084e-03   3.585517e-05
  9.254507e-01   5.737650e-03   3.612134e-05
  9.306124e-01   5.600700e-03   3.578826e-05
  9.357742e-01   5.648441e-03   3.555024e-05
  9.409359e-01   5.498902e-03   3.542904e-05
  9.460977e-01   5.429538e-03   3.540376e-05
  9.512594e-01   5.418414e-03   3.513545e-05
  9.564212e-01   5.352968e-03   3.509627e-05
  9.615830e-01   5.312863e-03   3.503508e-05
  9.667447e-01   5.219064e-03   3.453274e-05
  9.719065e-01   5.127891e-03   3.456217e-05
  9.770682e-01   5.059369e-03   3.453347e-05
  9.822300e-01   5.015099e-03   3.450028e-05
  9.873918e-01   5.025362e-03   3.502811e-05
  9.925535e-01   4.900227e-03   3.499023e-05
  9.977153e-01   4.869353e-03   3.505557e-05
  1.002877e+00   4.795470e-03   3.521982e-05
  1.008039e+00   4.738982e-03   3.536302e-05
  1.013201e+00   4.734023e-03   3.535756e-05
  1.018362e+00   4.644209e-03   3.548311e-05
  1.023524e+00   4.591985e-03   3.574729e-05
  1.028686e+00   4.533314e-03   3.530184e-05
  1.033848e+00   4.392590e-03   3.539851e-05
  1.039009e+00   4.421526e-03   3.539099e-05
  1.044171e+00   4.394074e-03   3.512933e-05
  1.049333e+00   4.355986e-03   3.511719e-05
  1.054495e+00   4.259756e-03   3.530300e-05
  1.059656e+00   4.199511e-03   3.503750e-05
  1.064818e+00   4.203039e-03   3.509021e-05
  1.069980e+00   4.060405e-03   3.528278e-05
  1.075142e+00   4.065642e-03   3.481759e-05
  1.080303e+00   4.105626e-03   3.506500e-05
  1.085465e+00   3.968408e-03   3.515630e-05
  1.090627e+00   3.942556e-03   3.470221e-05
  1.095789e+00   3.841614e-03   3.486609e-05
  1.100950e+00   3.815664e-03   3.505789e-05
  1.106112e+00   3.807356e-03   3.453861e-05
  1.111274e+00   3.752051e-03   3.519749e-05
  1.116436e+00   3.788668e-03   3.557354e-05
  1.121598e+00   3.573979e-03   3.572705e-05
  1.126759e+00   3.709458e-03   3.601794e-05
  1.131921e+00   3.554167e-03   3.624191e-05
  1.137083e+00   3.441074e-03   3.605799e-05
  1.142245e+00   3.420692e-03   3.600726e-05
  1.147406e+00   3.439093e-03   3.629289e-05
  1.152568e+00   3.447096e-03   3.627452e-05
  1.157730e+00   3.374934e-03   3.631910e-05
  1.162892e+00   3.280084e-03   3.616502e-05
  1.168053e+00   3.302076e-03   3.608534e-05
  1.173215e+00   3.238563e-03   3.617904e-05
  1.178377e+00   3.174018e-03   3.552692e-05
  1.183539e+00   3.164732e-03   3.500189e-05
  1.188700e+00   3.098498e-03   3.541688e-05
  1.193862e+00   3.056967e-03   3.540294e-05
  1.199024e+00   3.073453e-03   3.503350e-05
  1.204186e+00   3.053273e-03   3.557856e-05
  1.209347e+00   2.931814e-03   3.533052e-05
  1.214509e+00   2.914077e-03   3.512167e-05
  1.219671e+00   2.942077e-03   3.533980e-05
  1.224833e+00   2.850976e-03   3.518630e-05
  1.229995e+00   2.827075e-03   3.488661e-05
  1.235156e+00   2.832598e-03   3.546289e-05
  1.240318e+00   2.762242e-03   3.514841e-05
  1.245480e+00   2.729253e-03   3.496981e-05
  1.250642e+00   2.645003e-03   3.514482e-05
  1.255803e+00   2.639040e-03   3.499446e-05
  1.260965e+00   2.637462e-03   3.491552e-05
  1.266127e+00   2.607642e-03   3.519601e-05
  1.271289e+00   2.623146e-03   3.488071e-05
  1.276450e+00   2.549302e-03   3.472051e-05
  1.281612e+00   2.523791e-03   3.488354e-05
  1.286774e+00   2.465089e-03   3.471249e-05
  1.291936e+00   2.410640e-03   3.539266e-05
  1.297097e+00   2.423150e-03   3.565844e-05
  1.302259e+00   2.464376e-03   3.556523e-05
  1.307421e+00   2.348490e-03   3.594422e-05
  1.312583e+00   2.333479e-03   3.616695e-05
  1.317744e+00   2.298189e-03   3.610052e-05
  1.322906e+00   2.274777e-03   3.629077e-05
  1.328068e+00   2.270517e-03   3.680427e-05
  1.333230e+00   2.252467e-03   3.650111e-05
  1.338391e+00   2.217320e-03   3.701878e-05
  1.343553e+00   2.167871e-03   3.693480e-05
  1.348715e+00   2.199404e-03   3.683571e-05
  1.353877e+00   2.124399e-03   3.695039e-05
  1.359038e+00   2.123946e-03   3.642876e-05
  1.364200e+00   2.078847e-03   3.609042e-05
  1.369362e+00   2.045615e-03   3.562491e-05
  1.374524e+00   2.000183e-03   3.580891e-05
  1.379686e+00   1.920596e-03   3.569850e-05
  1.384847e+00   1.964405e-03   3.542057e-05
  1.390009e+00   1.928828e-03   3.555945e-05
  1.395171e+00   1.968350e-03   3.508582e-05
  1.400333e+00   1.905267e-03   3.518672e-05
  1.405494e+00   1.987315e-03   3.516462e-05
  1.410656e+00   1.892220e-03   3.501059e-05
  1.415818e+00   1.833974e-03   3.471849e-05
  1.420980e+00   1.810530e-03   3.512692e-05
  1.426141e+00   1.810100e-03   3.484675e-05
  1.431303e+00   1.741856e-03   3.466522e-05
  1.436465e+00   1.734468e-03   3.476336e-05
  1.441627e+00   1.703477e-03   3.455058e-05
  1.446788e+00   1.674048e-03   3.446980e-05
  1.451950e+00   1.690753e-03   3.465498e-05
  1.457112e+00   1.676823e-03   3.427022e-05
  1.462274e+00   1.590779e-03   3.415186e-05
  1.467435e+00   1.647967e-03   3.429067e-05
  1.472597e+00   1.599070e-03   3.438939e-05
  1.477759e+00   1.559781e-03   3.400233e-05
  1.482921e+00   1.572980e-03   3.414246e-05
  1.488083e+00   1.576711e-03   3.397553e-05
  1.493244e+00   1.527692e-03   3.391586e-05
  1.498406e+00   1.556871e-03   3.407850e-05
  1.503568e+00   1.490448e-03   3.381285e-05
  1.508730e+00   1.487026e-03   3.373118e-05
  1.513891e+00   1.408699e-03   3.390623e-05
  1.519053e+00   1.490658e-03   3.390041e-05
  1.524215e+00   1.427176e-03   3.377614e-05
  1.529377e+00   1.447267e-03   3.378100e-05
  1.534538e+00   1.377633e-03   3.374096e-05
  1.539700e+00   1.365922e-03   3.351818e-05
  1.544862e+00   1.328646e-03   3.377848e-05
  1.550024e+00   1.388559e-03   3.352271e-05
  1.555185e+00   1.349333e-03   3.339936e-05
  1.560347e+00   1.293832e-03   3.364871e-05
  1.565509e+00   1.311649e-03   3.353581e-05
  1.570671e+00   1.224983e-03   3.310684e-05
  1.575832e+00   1.276552e-03   3.342666e-05
  1.580994e+00   1.228919e-03   3.337802e-05
  1.586156e+00   1.189720e-03   3.316518e-05
  1.591318e+00   1.281570e-03   3.327967e-05
  1.596480e+00   1.215142e-03   3.321109e-05
  1.601641e+00   1.205470e-03   3.299764e-05
  1.606803e+00   1.214688e-03   3.322547e-05
  1.611965e+00   1.164585e-03   3.300746e-05
  1.617127e+00   1.204184e-03   3.293604e-05
  1.622288e+00   1.141257e-03   3.301001e-05
  1.627450e+00   1.144024e-03   3.301361e-05
  1.632612e+00   1.037639e-03   3.269166e-05
  1.637774e+00   1.071167e-03   3.305274e-05
  1.642935e+00   1.088280e-03   3.275472e-05
