Sample description: Sample c= 1.79 mg/ml
Sample: Sample c= 1.79   c= 1.79 mg/ml  Code: TipAS_NaP
Parent(s): TipAS_NaP_15deg_1-2_ave_sub.dat
  5.311318e-02   2.701728e-02   1.221866e-03
  5.827494e-02   2.849524e-02   8.142993e-04
  6.343670e-02   2.907338e-02   6.250743e-04
  6.859846e-02   2.808289e-02   5.080388e-04
  7.376022e-02   2.912378e-02   4.434456e-04
  7.892198e-02   2.826272e-02   3.906915e-04
  8.408374e-02   2.789027e-02   3.455027e-04
  8.924550e-02   2.809781e-02   3.018243e-04
  9.440726e-02   2.788161e-02   2.758701e-04
  9.956902e-02   2.825756e-02   2.557910e-04
  1.047308e-01   2.734947e-02   2.317491e-04
  1.098925e-01   2.749271e-02   2.136472e-04
  1.150543e-01   2.742735e-02   1.999297e-04
  1.202161e-01   2.687370e-02   1.870995e-04
  1.253778e-01   2.704390e-02   1.789975e-04
  1.305396e-01   2.676659e-02   1.687158e-04
  1.357013e-01   2.681626e-02   1.591061e-04
  1.408631e-01   2.664834e-02   1.535867e-04
  1.460249e-01   2.644030e-02   1.441715e-04
  1.511866e-01   2.633110e-02   1.411861e-04
  1.563484e-01   2.610578e-02   1.350640e-04
  1.615101e-01   2.594103e-02   1.294524e-04
  1.666719e-01   2.568854e-02   1.267851e-04
  1.718337e-01   2.553697e-02   1.229755e-04
  1.769954e-01   2.527626e-02   1.174928e-04
  1.821572e-01   2.524016e-02   1.153422e-04
  1.873190e-01   2.496836e-02   1.123737e-04
  1.924807e-01   2.492633e-02   1.095625e-04
  1.976425e-01   2.476733e-02   1.075584e-04
  2.028042e-01   2.451313e-02   1.052612e-04
  2.079660e-01   2.444655e-02   1.016863e-04
  2.131277e-01   2.425163e-02   1.008497e-04
  2.182895e-01   2.396361e-02   9.938418e-05
  2.234513e-01   2.392383e-02   9.694314e-05
  2.286130e-01   2.357351e-02   9.592824e-05
  2.337748e-01   2.334695e-02   9.397548e-05
  2.389365e-01   2.331652e-02   9.133075e-05
  2.440983e-01   2.294088e-02   9.054233e-05
  2.492601e-01   2.278965e-02   8.973689e-05
  2.544218e-01   2.272277e-02   8.735002e-05
  2.595836e-01   2.253597e-02   8.681480e-05
  2.647454e-01   2.240818e-02   8.538923e-05
  2.699071e-01   2.211414e-02   8.307203e-05
  2.750689e-01   2.204553e-02   8.345669e-05
  2.802306e-01   2.188051e-02   8.190737e-05
  2.853924e-01   2.162413e-02   8.005369e-05
  2.905541e-01   2.146350e-02   8.039737e-05
  2.957159e-01   2.120719e-02   8.151821e-05
  3.008777e-01   2.094313e-02   8.129647e-05
  3.060394e-01   2.092364e-02   8.202157e-05
  3.112012e-01   2.057509e-02   8.047987e-05
  3.163629e-01   2.044595e-02   7.996451e-05
  3.215247e-01   2.023204e-02   8.016959e-05
  3.266865e-01   2.001061e-02   7.947568e-05
  3.318482e-01   1.995398e-02   7.890761e-05
  3.370100e-01   1.966760e-02   7.817505e-05
  3.421718e-01   1.962525e-02   7.837031e-05
  3.473335e-01   1.936640e-02   7.804494e-05
  3.524953e-01   1.910378e-02   7.761716e-05
  3.576570e-01   1.890581e-02   7.491755e-05
  3.628188e-01   1.863505e-02   7.210737e-05
  3.679805e-01   1.858086e-02   7.222120e-05
  3.731423e-01   1.833396e-02   7.089247e-05
  3.783041e-01   1.832994e-02   6.916035e-05
  3.834658e-01   1.798969e-02   6.878077e-05
  3.886276e-01   1.792404e-02   6.801033e-05
  3.937894e-01   1.777708e-02   6.683964e-05
  3.989511e-01   1.743097e-02   6.655108e-05
  4.041129e-01   1.726345e-02   6.594656e-05
  4.092746e-01   1.706110e-02   6.409496e-05
  4.144364e-01   1.698886e-02   6.411437e-05
  4.195982e-01   1.674395e-02   6.368153e-05
  4.247599e-01   1.666619e-02   6.238441e-05
  4.299217e-01   1.640234e-02   6.231523e-05
  4.350834e-01   1.637379e-02   6.150761e-05
  4.402452e-01   1.617492e-02   6.035467e-05
  4.454069e-01   1.589360e-02   6.024855e-05
  4.505687e-01   1.582491e-02   6.008916e-05
  4.557305e-01   1.561883e-02   5.839883e-05
  4.608922e-01   1.539748e-02   5.869953e-05
  4.660540e-01   1.524193e-02   5.810875e-05
  4.712158e-01   1.520094e-02   5.876446e-05
  4.763775e-01   1.498045e-02   5.930051e-05
  4.815393e-01   1.470603e-02   5.917004e-05
  4.867010e-01   1.461745e-02   5.869577e-05
  4.918628e-01   1.451030e-02   5.916735e-05
  4.970246e-01   1.432497e-02   5.877930e-05
  5.021863e-01   1.414397e-02   5.848630e-05
  5.073481e-01   1.400884e-02   5.840748e-05
  5.125098e-01   1.394634e-02   5.835937e-05
  5.176716e-01   1.375554e-02   5.812672e-05
  5.228333e-01   1.353076e-02   5.804548e-05
  5.279951e-01   1.348079e-02   5.809919e-05
  5.331569e-01   1.321566e-02   5.668182e-05
  5.383186e-01   1.315132e-02   5.614492e-05
  5.434804e-01   1.300377e-02   5.539491e-05
  5.486422e-01   1.287147e-02   5.400910e-05
  5.538039e-01   1.263670e-02   5.368629e-05
  5.589657e-01   1.256723e-02   5.332156e-05
  5.641274e-01   1.242079e-02   5.226479e-05
  5.692892e-01   1.229044e-02   5.238195e-05
  5.744510e-01   1.211940e-02   5.219678e-05
  5.796127e-01   1.194897e-02   5.093350e-05
