#T(C)	W30N		W30N*		W51N*		W51U		errors
5	196402832	0		0		151669280	4.50E+07
15	330137120	197363936	202744752	236533408	4.53E+07
25	581457600	617601536	379494272	363172224	4.61E+07
35	254562464	1338364032	510815264	524023808	4.62E+07
