q[nm-1]	merged(TipAS_1.96mgml-1_10deg_sub_ave_cm-1_divconc_nm-1.dat_00001_[493]TipAS_NaP_10deg_1-2_ave_sub_cm-1_divconc.dat_00001_[TipAS_NaP_10deg_1-2_ave_sub.dat],scale_high,lq=0.9025,hq=1.0068)	error
1.14692100e-01	2.38599100e-02	2.45742300e-03
1.27435600e-01	1.79592500e-02	1.70274000e-03
1.40179000e-01	1.88583800e-02	1.60050200e-03
1.52922400e-01	1.94375200e-02	1.38965900e-03
1.65665800e-01	1.96347000e-02	1.25566100e-03
1.78409200e-01	1.68831800e-02	1.24261800e-03
1.91152500e-01	1.71240600e-02	1.07692600e-03
2.03895700e-01	1.85148700e-02	1.08766000e-03
2.16639000e-01	1.81243900e-02	9.51052000e-04
2.29382100e-01	1.77679900e-02	9.22478100e-04
2.42125300e-01	1.88614700e-02	8.60772400e-04
2.54868300e-01	1.75039100e-02	8.08328100e-04
2.67611300e-01	1.79016700e-02	7.74292300e-04
2.80354300e-01	1.71136100e-02	7.01426500e-04
2.93097200e-01	1.74034900e-02	6.94693400e-04
3.05840000e-01	1.70943300e-02	6.46088300e-04
3.18582800e-01	1.68831600e-02	6.12030600e-04
3.31325500e-01	1.55464900e-02	5.90052000e-04
3.44068100e-01	1.51058200e-02	5.49975500e-04
3.56810600e-01	1.55937600e-02	5.47450500e-04
3.69553100e-01	1.54540700e-02	5.19468400e-04
3.82295500e-01	1.50246700e-02	5.03120400e-04
3.95037800e-01	1.48803400e-02	4.89430200e-04
4.07780000e-01	1.49573400e-02	4.75002800e-04
4.20522100e-01	1.37534700e-02	4.77218900e-04
4.33264100e-01	1.25537000e-02	4.41025200e-04
4.46006100e-01	1.35563800e-02	4.58432400e-04
4.58747900e-01	1.29176600e-02	4.35276100e-04
4.71489600e-01	1.30756800e-02	4.31273900e-04
4.84231300e-01	1.28454500e-02	4.27552400e-04
4.96972800e-01	1.25701100e-02	4.07139700e-04
5.09714200e-01	1.14726600e-02	4.07528800e-04
5.22455500e-01	1.25515900e-02	3.95399300e-04
5.35196700e-01	1.17090100e-02	3.90234700e-04
5.47937800e-01	1.14660500e-02	3.85702200e-04
5.60678700e-01	1.17397200e-02	3.71158000e-04
5.73419600e-01	9.91938800e-03	3.73070800e-04
5.86160300e-01	1.02754300e-02	3.56641800e-04
5.98900800e-01	9.29756600e-03	3.52140700e-04
6.11641300e-01	1.01448100e-02	3.51197000e-04
6.24381600e-01	9.05366800e-03	3.38288900e-04
6.37121700e-01	9.10557700e-03	3.46020300e-04
6.49861800e-01	9.27085200e-03	3.26502700e-04
6.62601700e-01	8.77127000e-03	3.32543700e-04
6.75341400e-01	8.75829600e-03	3.21803200e-04
6.88081000e-01	8.89188800e-03	3.25267100e-04
7.00820400e-01	8.71813300e-03	3.18324300e-04
7.13559700e-01	7.80961200e-03	3.02866300e-04
7.26298800e-01	7.97566300e-03	3.10024300e-04
7.39037800e-01	7.74158700e-03	2.99208500e-04
7.51776600e-01	7.78525500e-03	3.01107300e-04
7.64515300e-01	6.41202600e-03	2.89149400e-04
7.77253700e-01	7.19903600e-03	2.91287800e-04
7.89992000e-01	6.96763300e-03	2.88375000e-04
8.02730200e-01	7.04378600e-03	2.79491300e-04
8.15468100e-01	6.72444900e-03	2.79471400e-04
8.28205900e-01	5.91635200e-03	2.72280900e-04
8.40943500e-01	6.36768900e-03	2.72103000e-04
8.53680900e-01	6.28875000e-03	2.76742400e-04
8.66418100e-01	5.73665800e-03	2.58350200e-04
8.79155100e-01	6.10738300e-03	2.62381600e-04
8.91892000e-01	5.64960700e-03	2.54872600e-04
9.17365000e-01	5.28916576e-03	2.54337631e-04
9.30101300e-01	4.70377085e-03	2.47677719e-04
9.42837300e-01	4.95222313e-03	2.46516741e-04
9.55573100e-01	5.08610246e-03	2.47186094e-04
9.68308700e-01	4.74572406e-03	2.44971553e-04
9.81044100e-01	5.07857556e-03	2.43206372e-04
9.93779300e-01	4.70847524e-03	2.41051904e-04
1.00651400e+00	4.26323599e-03	2.38195829e-04
1.01320100e+00	4.32747684e-03	3.23211404e-05
1.01836200e+00	4.24537584e-03	3.24359084e-05
