q[nm-1]	merged(TipAS_1.96mgml-1_20deg_sub_ave_cm-1_divconc_nm-1.dat_00001_[493]TipAS_NaP_20deg_1-2_ave_sub_cm-1_divconc.dat_00001_[TipAS_NaP_20deg_1-2_ave_sub.dat],scale_high,lq=0.9058,hq=1.0031)	error
1.14692100e-01	2.13495200e-02	1.86576400e-03
1.27435600e-01	2.01898100e-02	1.30909900e-03
1.40179000e-01	1.95995300e-02	1.22445500e-03
1.52922400e-01	1.70505500e-02	1.06522000e-03
1.65665800e-01	1.84994000e-02	9.55618900e-04
1.78409200e-01	1.80637400e-02	9.45229100e-04
1.91152500e-01	1.81059700e-02	8.30259200e-04
2.03895700e-01	1.86531300e-02	8.36581600e-04
2.16639000e-01	1.58014500e-02	7.21978100e-04
2.29382100e-01	1.69815800e-02	7.12472400e-04
2.42125300e-01	1.63606700e-02	6.60401000e-04
2.54868300e-01	1.58758300e-02	6.18880600e-04
2.67611300e-01	1.81902100e-02	5.93151500e-04
2.80354300e-01	1.46316400e-02	5.35799500e-04
2.93097200e-01	1.55984700e-02	5.26905600e-04
3.05840000e-01	1.66121600e-02	4.92141800e-04
3.18582800e-01	1.58774200e-02	4.69577700e-04
3.31325500e-01	1.48083300e-02	4.45372800e-04
3.44068100e-01	1.57931600e-02	4.23781500e-04
3.56810600e-01	1.44788600e-02	4.14268600e-04
3.69553100e-01	1.43094600e-02	3.91426700e-04
3.82295500e-01	1.43995000e-02	3.85268000e-04
3.95037800e-01	1.32611200e-02	3.68149500e-04
4.07780000e-01	1.21462400e-02	3.52065600e-04
4.20522100e-01	1.28422400e-02	3.60274400e-04
4.33264100e-01	1.30015800e-02	3.36805400e-04
4.46006100e-01	1.21974400e-02	3.48355600e-04
4.58747900e-01	1.25221300e-02	3.27997800e-04
4.71489600e-01	1.18873400e-02	3.25200100e-04
4.84231300e-01	1.15269200e-02	3.24038800e-04
4.96972800e-01	1.06421500e-02	3.06740900e-04
5.09714200e-01	1.12451100e-02	3.11965800e-04
5.22455500e-01	1.06393200e-02	2.95779200e-04
5.35196700e-01	1.07208300e-02	2.99010000e-04
5.47937800e-01	1.05614800e-02	2.91536300e-04
5.60678700e-01	9.74030600e-03	2.78420600e-04
5.73419600e-01	9.84528600e-03	2.83981700e-04
5.86160300e-01	1.00841000e-02	2.71199100e-04
5.98900800e-01	9.75988800e-03	2.72443200e-04
6.11641300e-01	9.27578100e-03	2.67266500e-04
6.24381600e-01	9.23324000e-03	2.56344900e-04
6.37121700e-01	8.89555600e-03	2.63065400e-04
6.49861800e-01	8.70508200e-03	2.48143200e-04
6.62601700e-01	8.41860200e-03	2.52659500e-04
6.75341400e-01	8.03004100e-03	2.41943400e-04
6.88081000e-01	8.22673500e-03	2.45142200e-04
7.00820400e-01	8.07454600e-03	2.42612100e-04
7.13559700e-01	7.71105100e-03	2.32316900e-04
7.26298800e-01	7.03233200e-03	2.34313300e-04
7.39037800e-01	7.15601000e-03	2.26743400e-04
7.51776600e-01	6.68557700e-03	2.28408600e-04
7.64515300e-01	6.26413300e-03	2.22249600e-04
7.77253700e-01	7.14540800e-03	2.22149400e-04
7.89992000e-01	6.47417900e-03	2.15829700e-04
8.02730200e-01	6.39637200e-03	2.12833600e-04
8.15468100e-01	5.60260200e-03	2.10207800e-04
8.28205900e-01	5.88052600e-03	2.09087400e-04
8.40943500e-01	5.25212200e-03	2.04209100e-04
8.53680900e-01	5.11528100e-03	2.06846100e-04
8.66418100e-01	5.60457700e-03	1.96267900e-04
8.79155100e-01	4.82441100e-03	2.00043600e-04
8.91892000e-01	5.13510200e-03	1.92407000e-04
9.04628600e-01	5.52543900e-03	1.96816100e-04
9.30101300e-01	4.74188102e-03	1.92204013e-04
9.42837300e-01	4.75116522e-03	1.89709590e-04
9.55573100e-01	4.46877866e-03	1.85884594e-04
9.68308700e-01	4.55442038e-03	1.85688884e-04
9.81044100e-01	4.40303491e-03	1.84685026e-04
9.93779300e-01	4.27075115e-03	1.84372200e-04
1.01320100e+00	4.09289490e-03	3.02212415e-05
1.01836200e+00	3.95750016e-03	3.03400363e-05
1.02352400e+00	3.96565499e-03	3.05192316e-05
1.02868600e+00	3.86387823e-03	3.01039633e-05
1.03384800e+00	3.82016451e-03	3.02256615e-05
1.03900900e+00	3.79669869e-03	3.02043197e-05
1.04417100e+00	3.77821232e-03	2.99625322e-05
1.04933300e+00	3.71387249e-03	3.00084245e-05
1.05449500e+00	3.72590362e-03	3.01914851e-05
1.05965600e+00	3.64249764e-03	2.99720935e-05
1.06481800e+00	3.59605146e-03	2.99699667e-05
1.06998000e+00	3.51524109e-03	3.01063490e-05
1.07514200e+00	3.46973162e-03	2.97230009e-05
1.08030300e+00	3.44940420e-03	2.98813446e-05
1.08546500e+00	3.40947153e-03	3.00010177e-05
1.09062700e+00	3.37706767e-03	2.96319191e-05
1.09578900e+00	3.36534724e-03	2.97629844e-05
1.10095000e+00	3.32125532e-03	2.99120904e-05
1.10611200e+00	3.26645643e-03	2.95007798e-05
1.11127400e+00	3.23103347e-03	3.00736150e-05
1.11643600e+00	3.12645398e-03	3.03743052e-05
1.12159800e+00	3.20329744e-03	3.04934143e-05
1.12675900e+00	3.11843231e-03	3.07019131e-05
1.13192100e+00	3.08207263e-03	3.09516714e-05
1.13708300e+00	3.04203640e-03	3.08079009e-05
1.14224500e+00	3.01864548e-03	3.07115114e-05
1.14740600e+00	2.97443797e-03	3.09575062e-05
1.15256800e+00	2.96482398e-03	3.09311988e-05
1.15773000e+00	2.92250747e-03	3.10059876e-05
1.16289200e+00	2.80508775e-03	3.08318226e-05
1.16805300e+00	2.77806096e-03	3.07259642e-05
1.17321500e+00	2.79544510e-03	3.08573902e-05
1.17837700e+00	2.78297013e-03	3.03053789e-05
1.18353900e+00	2.74260563e-03	2.98142954e-05
1.18870000e+00	2.68316665e-03	3.02298504e-05
1.19386200e+00	2.62221027e-03	3.01446588e-05
1.19902400e+00	2.61299020e-03	2.98565814e-05
1.20418600e+00	2.62376467e-03	3.03384181e-05
1.20934700e+00	2.57534151e-03	3.01694682e-05
1.21450900e+00	2.55185904e-03	2.99504280e-05
1.21967100e+00	2.50599357e-03	3.01482096e-05
1.22483300e+00	2.50964147e-03	3.00344730e-05
1.22999500e+00	2.41696919e-03	2.96970819e-05
1.23515600e+00	2.44728418e-03	3.02276866e-05
1.24031800e+00	2.40288988e-03	2.99410979e-05
1.24548000e+00	2.42716018e-03	2.98413518e-05
1.25064200e+00	2.31471252e-03	2.99189701e-05
1.25580300e+00	2.27677717e-03	2.98524758e-05
1.26096500e+00	2.27464669e-03	2.97511577e-05
1.26612700e+00	2.19031510e-03	2.99759032e-05
1.27128900e+00	2.26154940e-03	2.97466082e-05
1.27645000e+00	2.22882653e-03	2.95566217e-05
1.28161200e+00	2.15219852e-03	2.97210868e-05
1.28677400e+00	2.07684288e-03	2.95555583e-05
1.29193600e+00	2.15976894e-03	3.01804905e-05
1.29709700e+00	2.10434682e-03	3.04159994e-05
1.30225900e+00	2.10801136e-03	3.03337946e-05
1.30742100e+00	2.03394196e-03	3.06302312e-05
1.31258300e+00	1.95323423e-03	3.08003092e-05
1.31774400e+00	1.97645963e-03	3.07423590e-05
