q[nm-1]	merged(TipAS_1.96mgml-1_15deg_sub_ave_cm-1_divconc_nm-1.dat_00001_[493]TipAS_NaP_15deg_1-2_ave_sub_cm-1_divconc.dat_00001_[TipAS_NaP_15deg_1-2_ave_sub.dat],scale_high,lq=0.9058,hq=1.0031)	error
1.24031800e+00	2.56879700e-03	3.25976189e-05
1.24548000e+00	2.55620783e-03	3.25047755e-05
1.25064200e+00	2.49927769e-03	3.26193972e-05
1.25580300e+00	2.45227345e-03	3.25178444e-05
1.26096500e+00	2.34923190e-03	3.23183271e-05
1.26612700e+00	2.32623711e-03	3.26238804e-05
1.27128900e+00	2.39119896e-03	3.23769230e-05
1.27645000e+00	2.37211056e-03	3.21703716e-05
1.28161200e+00	2.29767401e-03	3.23909247e-05
1.28677400e+00	2.28322017e-03	3.22014495e-05
1.29193600e+00	2.23491855e-03	3.28314598e-05
1.29709700e+00	2.22079310e-03	3.31040315e-05
1.30225900e+00	2.21920922e-03	3.29847648e-05
1.30742100e+00	2.19424410e-03	3.34030456e-05
1.31258300e+00	2.12784402e-03	3.35952526e-05
1.31774400e+00	2.11007298e-03	3.34435278e-05
1.32290600e+00	2.06198172e-03	3.36361251e-05
1.32806800e+00	2.02154143e-03	3.41077381e-05
1.33323000e+00	1.97114099e-03	3.37884686e-05
1.33839100e+00	2.04873483e-03	3.43090258e-05
1.34355300e+00	2.03422483e-03	3.42545609e-05
1.34871500e+00	1.97218612e-03	3.41367410e-05
1.35387700e+00	1.87773882e-03	3.42593297e-05
1.35903800e+00	1.87945881e-03	3.37522983e-05
1.36420000e+00	1.87931794e-03	3.34634310e-05
1.36936200e+00	1.90677976e-03	3.30481960e-05
1.37452400e+00	1.86041230e-03	3.32359484e-05
1.37968600e+00	1.85307639e-03	3.31409347e-05
1.38484700e+00	1.77913956e-03	3.27823634e-05
1.39000900e+00	1.77760708e-03	3.29578464e-05
1.39517100e+00	1.78025322e-03	3.25233080e-05
1.40033300e+00	1.72494028e-03	3.25799430e-05
1.40549400e+00	1.72450909e-03	3.26217673e-05
1.41065600e+00	1.75617523e-03	3.24399830e-05
1.41581800e+00	1.68837497e-03	3.21851443e-05
1.42098000e+00	1.68446191e-03	3.25212615e-05
1.42614100e+00	1.65450339e-03	3.23145483e-05
1.43130300e+00	1.68161112e-03	3.21334779e-05
1.43646500e+00	1.58080071e-03	3.22277967e-05
1.44162700e+00	1.57510865e-03	3.20165527e-05
1.44678800e+00	1.61130655e-03	3.18869202e-05
1.45195000e+00	1.52304247e-03	3.20993160e-05
1.45711200e+00	1.50474316e-03	3.17583920e-05
1.46227400e+00	1.48216338e-03	3.16261610e-05
1.46743500e+00	1.48748517e-03	3.17963041e-05
1.47259700e+00	1.45899440e-03	3.18285338e-05
1.47775900e+00	1.49108221e-03	3.14701528e-05
1.48292100e+00	1.42093088e-03	3.16299494e-05
1.48808300e+00	1.41455158e-03	3.14147361e-05
1.49324400e+00	1.42987541e-03	3.13864186e-05
1.49840600e+00	1.39646834e-03	3.15890960e-05
1.50356800e+00	1.36812796e-03	3.12844184e-05
1.50873000e+00	1.34694740e-03	3.12267172e-05
1.51389100e+00	1.38048202e-03	3.14990795e-05
1.51905300e+00	1.28597571e-03	3.13620036e-05
1.52421500e+00	1.27235379e-03	3.12472106e-05
1.52937700e+00	1.31848709e-03	3.12387581e-05
1.53453800e+00	1.28784991e-03	3.12214821e-05
1.53970000e+00	1.23511362e-03	3.09894401e-05
1.54486200e+00	1.26500456e-03	3.12461540e-05
1.55002400e+00	1.26662175e-03	3.10235354e-05
1.55518500e+00	1.20330756e-03	3.09350800e-05
1.56034700e+00	1.21295646e-03	3.11729187e-05
1.56550900e+00	1.20487335e-03	3.10723272e-05
1.57067100e+00	1.17371550e-03	3.06959277e-05
1.57583200e+00	1.10016321e-03	3.09541741e-05
1.58099400e+00	1.15459189e-03	3.08860216e-05
1.58615600e+00	1.15422067e-03	3.07075498e-05
1.59131800e+00	1.14611281e-03	3.07967381e-05
1.59648000e+00	1.12073745e-03	3.06837060e-05
1.60164100e+00	1.07835443e-03	3.05239856e-05
1.60680300e+00	1.03093327e-03	3.07583405e-05
1.61196500e+00	1.02807392e-03	3.05578048e-05
1.61712700e+00	1.08886190e-03	3.04858259e-05
1.62228800e+00	1.03564493e-03	3.05564151e-05
1.62745000e+00	1.00490018e-03	3.05072140e-05
1.63261200e+00	9.90322603e-04	3.03019952e-05
1.63777400e+00	1.00460987e-03	3.05566531e-05
1.64293500e+00	9.73491043e-04	3.03006721e-05
1.64809700e+00	9.98938747e-04	3.03112947e-05
1.65325900e+00	9.64533185e-04	3.04027770e-05
1.65842100e+00	9.52754044e-04	3.03635323e-05
1.66358200e+00	1.00211793e-03	3.01191448e-05
1.66874400e+00	8.93894984e-04	3.03126940e-05
1.67390600e+00	9.17102510e-04	3.01664327e-05
1.67906800e+00	9.07846247e-04	2.99274518e-05
1.68422900e+00	9.40894376e-04	3.01739809e-05
1.68939100e+00	9.41197635e-04	3.01033156e-05
1.69455300e+00	8.56310053e-04	2.99338387e-05
1.69971500e+00	8.63701547e-04	3.03504919e-05
1.70487600e+00	8.71758480e-04	2.98161806e-05
1.71003800e+00	8.24814867e-04	2.98541594e-05
1.71520000e+00	8.09933171e-04	2.98868268e-05
1.72036200e+00	8.46046162e-04	2.98665239e-05
1.72552300e+00	8.24938607e-04	2.96986557e-05
1.73068500e+00	7.56361828e-04	2.98199689e-05
1.73584700e+00	7.82112506e-04	2.97284390e-05
1.74100900e+00	7.79074392e-04	2.95585339e-05
1.74617100e+00	8.09033292e-04	3.00092252e-05
1.75133200e+00	7.55252257e-04	2.95945994e-05
1.75649400e+00	7.71772276e-04	2.94089507e-05
1.76165600e+00	7.35360785e-04	2.95996728e-05
1.76681800e+00	7.35885730e-04	2.94306148e-05
1.77197900e+00	7.67333896e-04	2.93524298e-05
1.77714100e+00	7.47463841e-04	2.94806059e-05
1.78230300e+00	7.18926147e-04	2.93504119e-05
1.78746500e+00	7.18631645e-04	2.91154002e-05
1.79262600e+00	7.05099006e-04	2.94242754e-05
1.79778800e+00	6.11949272e-04	2.90858548e-05
1.80295000e+00	7.10655429e-04	2.88707177e-05
1.80811200e+00	6.57984345e-04	2.92025135e-05
1.81327300e+00	6.38127045e-04	2.89857392e-05
1.81843500e+00	6.68982017e-04	2.89087917e-05
1.82359700e+00	6.63532297e-04	2.91050631e-05
1.82875900e+00	6.49628246e-04	2.89558131e-05
1.83392000e+00	6.16788762e-04	2.88841007e-05
1.83908200e+00	6.02317219e-04	2.90261262e-05
1.84424400e+00	6.07865170e-04	2.88966746e-05
1.84940600e+00	6.20352297e-04	2.86648421e-05
1.85456800e+00	5.40799167e-04	2.89570695e-05
1.85972900e+00	5.69353994e-04	2.88514522e-05
1.86489100e+00	5.90862944e-04	2.86242933e-05
1.87005300e+00	5.72166330e-04	2.89288186e-05
1.87521500e+00	5.93239999e-04	2.87301961e-05
1.88037600e+00	5.76024367e-04	2.86541338e-05
1.88553800e+00	5.68841899e-04	2.88814641e-05
1.89070000e+00	5.84896750e-04	2.86568466e-05
1.89586200e+00	5.83172569e-04	2.85315260e-05
1.90102300e+00	5.39821903e-04	2.87209156e-05
1.90618500e+00	5.19175139e-04	2.86491461e-05
1.91134700e+00	5.10204621e-04	2.84025980e-05
1.91650900e+00	4.88529288e-04	2.87115018e-05
1.92167000e+00	4.89318752e-04	2.84528842e-05
1.92683200e+00	4.94089994e-04	2.85806319e-05
1.93199400e+00	5.01225441e-04	2.86012300e-05
1.93715600e+00	4.77531520e-04	2.83631533e-05
1.94231700e+00	4.80689568e-04	2.82922976e-05
1.94747900e+00	5.13601582e-04	2.85132315e-05
1.95264100e+00	5.01016320e-04	2.83815145e-05
1.95780300e+00	5.06828886e-04	2.83071274e-05
1.96296400e+00	4.45588298e-04	2.84471921e-05
1.96812600e+00	4.90961740e-04	2.83539108e-05
1.97328800e+00	4.76199978e-04	2.82687203e-05
1.97845000e+00	4.57217523e-04	2.84124401e-05
1.98361100e+00	4.56466513e-04	2.82733558e-05
1.98877300e+00	4.75986668e-04	2.81533656e-05
1.99393500e+00	4.71433114e-04	2.83031487e-05
1.99909700e+00	4.19261180e-04	2.81358230e-05
2.00425900e+00	4.71706200e-04	2.81422766e-05
2.00942000e+00	5.04754805e-04	2.83241084e-05
2.01458200e+00	4.20767673e-04	2.82233266e-05
2.01974400e+00	4.49962524e-04	2.80851370e-05
2.02490600e+00	4.43360589e-04	2.81705751e-05
2.03006700e+00	4.12450029e-04	2.80985200e-05
2.03522900e+00	4.08967686e-04	2.79339833e-05
2.04039100e+00	4.26593089e-04	2.81789989e-05
2.04555300e+00	4.04597649e-04	2.79874963e-05
2.05071400e+00	4.16363464e-04	2.79228466e-05
2.05587600e+00	3.99310028e-04	2.81209361e-05
2.06103800e+00	3.40915947e-04	2.78939389e-05
2.06620000e+00	4.36805485e-04	2.79959297e-05
2.07136200e+00	3.47633151e-04	2.80261033e-05
2.07652300e+00	3.78714378e-04	2.78533330e-05
2.08168500e+00	3.57167069e-04	2.78233783e-05
2.08684700e+00	3.91350850e-04	2.79496126e-05
2.09200800e+00	4.02638742e-04	2.78412921e-05
2.09717000e+00	3.14473655e-04	2.77619364e-05
2.10233200e+00	4.37330335e-04	2.79333455e-05
2.10749400e+00	4.09974838e-04	2.78607860e-05
2.11265500e+00	3.99595964e-04	2.84810685e-05
2.11781700e+00	2.99024753e-04	2.87720204e-05
2.12297900e+00	4.14297950e-04	2.88038598e-05
2.12814100e+00	3.69602986e-04	2.90616587e-05
2.13330200e+00	3.34514472e-04	2.93095680e-05
2.13846400e+00	3.29320799e-04	2.92968703e-05
2.14362600e+00	3.70751012e-04	2.97008164e-05
2.14878800e+00	3.44517842e-04	2.97535108e-05
2.15394900e+00	3.27827156e-04	2.97503411e-05
2.15911100e+00	3.51794162e-04	2.99836300e-05
2.16427300e+00	2.82069452e-04	3.00927120e-05
2.16943500e+00	3.48341613e-04	3.00578457e-05
2.17459700e+00	3.03249823e-04	2.99120033e-05
2.17975800e+00	3.31659398e-04	2.96242876e-05
2.18492000e+00	3.60781719e-04	2.91912817e-05
2.19008200e+00	2.99204081e-04	2.89588685e-05
2.19524400e+00	2.43088919e-04	2.91069954e-05
2.20040500e+00	2.93387327e-04	2.89361002e-05
2.20556700e+00	2.86644328e-04	2.86469759e-05
2.21072900e+00	3.18937640e-04	2.87190309e-05
2.21589100e+00	3.17883467e-04	2.85339723e-05
2.22105200e+00	3.10351099e-04	2.83036341e-05
2.22621400e+00	3.54892434e-04	2.85409969e-05
2.23137600e+00	2.70798599e-04	2.82571934e-05
2.23653800e+00	2.61836648e-04	2.83309998e-05
2.24169900e+00	2.99084624e-04	2.83882060e-05
2.24686100e+00	2.36166782e-04	2.82763256e-05
