q[nm-1]	merged(TipAS_1.96mgml-1_40deg_sub_ave_cm-1_divconc_nm-1.dat_00001_[493]TipAS_NaP_40deg_1-2_ave_sub_cm-1_divconc.dat_00001_[TipAS_NaP_40deg_1-2_ave_sub.dat],scale_high,lq=0.9124,hq=1.0031)	error
1.14692100e-01	1.84456600e-02	2.32252000e-03
1.27435600e-01	1.35451400e-02	1.65288900e-03
1.40179000e-01	1.79944300e-02	1.56339700e-03
1.52922400e-01	1.65754600e-02	1.33691000e-03
1.65665800e-01	1.57127400e-02	1.20152900e-03
1.78409200e-01	1.23411700e-02	1.19097300e-03
1.91152500e-01	1.51031900e-02	1.04560800e-03
2.03895700e-01	1.30780100e-02	1.03543400e-03
2.16639000e-01	1.52350400e-02	9.14932700e-04
2.29382100e-01	1.58714700e-02	9.06264800e-04
2.42125300e-01	1.48907300e-02	8.33029600e-04
2.54868300e-01	1.52180800e-02	7.76058200e-04
2.67611300e-01	1.46428200e-02	7.39629100e-04
2.80354300e-01	1.29301600e-02	6.74549000e-04
2.93097200e-01	1.31890500e-02	6.54534200e-04
3.05840000e-01	1.23733000e-02	6.03137800e-04
3.18582800e-01	1.36562300e-02	5.79038300e-04
3.31325500e-01	1.24419700e-02	5.56348000e-04
3.44068100e-01	1.24866100e-02	5.17708700e-04
3.56810600e-01	1.24279800e-02	5.08207900e-04
3.69553100e-01	1.16838600e-02	4.77208800e-04
3.82295500e-01	1.08664700e-02	4.70180900e-04
3.95037800e-01	1.02834200e-02	4.56440200e-04
4.07780000e-01	1.00170800e-02	4.39067300e-04
4.20522100e-01	1.08596000e-02	4.46636100e-04
4.33264100e-01	9.56808200e-03	4.11723000e-04
4.46006100e-01	1.02175500e-02	4.22491800e-04
4.58747900e-01	9.91268900e-03	4.05814400e-04
4.71489600e-01	9.19940300e-03	3.92623800e-04
4.84231300e-01	8.15400500e-03	3.90884000e-04
4.96972800e-01	1.01142100e-02	3.81093100e-04
5.09714200e-01	8.16756600e-03	3.72999700e-04
5.22455500e-01	8.26685700e-03	3.60124500e-04
5.35196700e-01	7.93020900e-03	3.59963000e-04
5.47937800e-01	7.19983700e-03	3.50450800e-04
5.60678700e-01	7.49584700e-03	3.39149000e-04
5.73419600e-01	7.24890800e-03	3.41915800e-04
5.86160300e-01	6.48242300e-03	3.28718500e-04
5.98900800e-01	6.67451500e-03	3.30189900e-04
6.11641300e-01	7.16578600e-03	3.27353100e-04
6.24381600e-01	6.24756100e-03	3.10389100e-04
6.37121700e-01	6.68355600e-03	3.21746600e-04
6.49861800e-01	6.43238800e-03	3.01589300e-04
6.62601700e-01	5.36292900e-03	3.04116200e-04
6.75341400e-01	6.36998000e-03	2.97119200e-04
6.88081000e-01	5.91790300e-03	2.95300900e-04
7.00820400e-01	6.28072400e-03	2.99144600e-04
7.13559700e-01	5.12158700e-03	2.78972200e-04
7.26298800e-01	5.80877000e-03	2.87623900e-04
7.39037800e-01	5.53375000e-03	2.76322900e-04
7.51776600e-01	5.48073000e-03	2.81545200e-04
7.64515300e-01	4.63123700e-03	2.71159500e-04
7.77253700e-01	4.77326300e-03	2.67345100e-04
7.89992000e-01	5.11079600e-03	2.70486500e-04
8.02730200e-01	4.24514600e-03	2.58801500e-04
8.15468100e-01	4.44032300e-03	2.62100400e-04
8.28205900e-01	4.39577600e-03	2.57323400e-04
8.40943500e-01	3.62771200e-03	2.50176600e-04
8.53680900e-01	4.09594400e-03	2.58428300e-04
8.66418100e-01	3.71032100e-03	2.44214200e-04
8.79155100e-01	3.67769800e-03	2.48121900e-04
8.91892000e-01	3.66079900e-03	2.34608700e-04
9.04628600e-01	3.38032300e-03	2.43542700e-04
9.30101300e-01	3.34709252e-03	2.35477577e-04
9.42837300e-01	3.53580254e-03	2.33294509e-04
9.55573100e-01	2.93020870e-03	2.27842409e-04
9.68308700e-01	3.00747662e-03	2.31155841e-04
9.81044100e-01	2.67535712e-03	2.25447796e-04
9.93779300e-01	3.06033309e-03	2.27786928e-04
1.01320100e+00	2.79780855e-03	2.75320483e-05
1.01836200e+00	2.79786293e-03	2.76534372e-05
1.02352400e+00	2.76034399e-03	2.78466132e-05
1.02868600e+00	2.67394739e-03	2.74605248e-05
1.03384800e+00	2.67835726e-03	2.75717643e-05
1.03900900e+00	2.67999748e-03	2.75849618e-05
1.04417100e+00	2.61250904e-03	2.73669314e-05
1.04933300e+00	2.54595398e-03	2.73834818e-05
1.05449500e+00	2.53455158e-03	2.75435240e-05
1.05965600e+00	2.51001183e-03	2.73489475e-05
1.06481800e+00	2.55361050e-03	2.74082538e-05
1.06998000e+00	2.46381567e-03	2.75188178e-05
1.07514200e+00	2.46633489e-03	2.71736895e-05
1.08030300e+00	2.42457167e-03	2.73395725e-05
1.08546500e+00	2.41770107e-03	2.74347724e-05
1.09062700e+00	2.33721039e-03	2.70787697e-05
1.09578900e+00	2.32373692e-03	2.72261911e-05
1.10095000e+00	2.38904720e-03	2.73703337e-05
1.10611200e+00	2.30143794e-03	2.70014795e-05
1.11127400e+00	2.33421583e-03	2.75399486e-05
1.11643600e+00	2.29381108e-03	2.78445783e-05
1.12159800e+00	2.17433837e-03	2.78918982e-05
1.12675900e+00	2.18308479e-03	2.81054141e-05
1.13192100e+00	2.18501664e-03	2.83459512e-05
1.13708300e+00	2.16063176e-03	2.82350082e-05
1.14224500e+00	2.11764189e-03	2.81579405e-05
1.14740600e+00	2.09777068e-03	2.83766300e-05
1.15256800e+00	2.08461438e-03	2.83362466e-05
1.15773000e+00	2.08507902e-03	2.84195506e-05
1.16289200e+00	2.08351377e-03	2.82979805e-05
1.16805300e+00	2.03534952e-03	2.82126252e-05
1.17321500e+00	2.01462073e-03	2.83382897e-05
1.17837700e+00	2.05947242e-03	2.78676534e-05
1.18353900e+00	1.93524549e-03	2.74036158e-05
1.18870000e+00	2.01424425e-03	2.78031735e-05
1.19386200e+00	1.90813462e-03	2.77071745e-05
1.19902400e+00	1.89687638e-03	2.74490244e-05
1.20418600e+00	1.90220975e-03	2.78885288e-05
1.20934700e+00	1.88841417e-03	2.77491313e-05
1.21450900e+00	1.81166195e-03	2.75390424e-05
1.21967100e+00	1.84227074e-03	2.77296481e-05
1.22483300e+00	1.80766563e-03	2.76187876e-05
1.22999500e+00	1.79062341e-03	2.73478518e-05
1.23515600e+00	1.72598207e-03	2.77746613e-05
1.24031800e+00	1.75649776e-03	2.75524624e-05
1.24548000e+00	1.72382121e-03	2.74310570e-05
1.25064200e+00	1.74084449e-03	2.75768308e-05
1.25580300e+00	1.69114053e-03	2.74681863e-05
1.26096500e+00	1.70014152e-03	2.73805078e-05
1.26612700e+00	1.66253032e-03	2.76326688e-05
1.27128900e+00	1.59951766e-03	2.73350827e-05
1.27645000e+00	1.62997074e-03	2.72135538e-05
1.28161200e+00	1.66453960e-03	2.74222340e-05
1.28677400e+00	1.56055705e-03	2.72342809e-05
1.29193600e+00	1.57434604e-03	2.77929747e-05
1.29709700e+00	1.57231369e-03	2.80511413e-05
1.30225900e+00	1.56616805e-03	2.79355438e-05
1.30742100e+00	1.48560322e-03	2.82108293e-05
1.31258300e+00	1.51579433e-03	2.84582451e-05
1.31774400e+00	1.43433731e-03	2.83419721e-05
1.32290600e+00	1.43799669e-03	2.85174856e-05
1.32806800e+00	1.49449793e-03	2.89107329e-05
1.33323000e+00	1.52781377e-03	2.87029919e-05
1.33839100e+00	1.40243514e-03	2.90682707e-05
1.34355300e+00	1.44427992e-03	2.90178780e-05
1.34871500e+00	1.44978299e-03	2.90015912e-05
1.35387700e+00	1.39018751e-03	2.90678917e-05
1.35903800e+00	1.36910036e-03	2.86292523e-05
1.36420000e+00	1.38076144e-03	2.83931804e-05
1.36936200e+00	1.31425828e-03	2.80072403e-05
1.37452400e+00	1.33818182e-03	2.81458551e-05
1.37968600e+00	1.33545170e-03	2.81501225e-05
1.38484700e+00	1.29232590e-03	2.78319410e-05
1.39000900e+00	1.27927257e-03	2.79672442e-05
1.39517100e+00	1.27424566e-03	2.75792940e-05
1.40033300e+00	1.27180800e-03	2.76950809e-05
1.40549400e+00	1.25539352e-03	2.76880620e-05
1.41065600e+00	1.26760820e-03	2.75603792e-05
1.41581800e+00	1.22449310e-03	2.73493512e-05
1.42098000e+00	1.24857893e-03	2.76672525e-05
