q[nm-1]	merged(TipAS_1.96mgml-1_20degBack_sub_ave_cm-1_divconc_nm-1.dat_00001_[493]TipAS_NaP_20degBACK_1-2_ave_sub_cm-1_divconc.dat_00001_[TipAS_NaP_20degBACK_1-2_ave_sub.dat],scale_high,lq=0.9025,hq=1.0031)	error
1.14692100e-01	2.26201800e-02	2.42202600e-03
1.27435600e-01	1.86358400e-02	1.68050500e-03
1.40179000e-01	1.85713600e-02	1.57444100e-03
1.52922400e-01	1.48718900e-02	1.36013800e-03
1.65665800e-01	1.78902300e-02	1.23034600e-03
1.78409200e-01	1.87169600e-02	1.22693700e-03
1.91152500e-01	1.51830600e-02	1.05076800e-03
2.03895700e-01	1.72912400e-02	1.07028300e-03
2.16639000e-01	1.62172700e-02	9.36237200e-04
2.29382100e-01	1.63139400e-02	9.15433200e-04
2.42125300e-01	1.43311400e-02	8.37460200e-04
2.54868300e-01	1.62347400e-02	8.02634200e-04
2.67611300e-01	1.65578900e-02	7.53135200e-04
2.80354300e-01	1.51273900e-02	6.96440300e-04
2.93097200e-01	1.60526500e-02	6.84789300e-04
3.05840000e-01	1.61615100e-02	6.32261200e-04
3.18582800e-01	1.49765500e-02	5.99199500e-04
3.31325500e-01	1.49384400e-02	5.76724000e-04
3.44068100e-01	1.49718000e-02	5.40694900e-04
3.56810600e-01	1.38187000e-02	5.29553100e-04
3.69553100e-01	1.36616700e-02	5.00264400e-04
3.82295500e-01	1.35021200e-02	4.90079600e-04
3.95037800e-01	1.25558800e-02	4.69615400e-04
4.07780000e-01	1.23597000e-02	4.56817200e-04
4.20522100e-01	1.29675400e-02	4.66698100e-04
4.33264100e-01	1.20543500e-02	4.27339300e-04
4.46006100e-01	1.20474200e-02	4.48929300e-04
4.58747900e-01	1.20936500e-02	4.20354500e-04
4.71489600e-01	1.09565800e-02	4.12538300e-04
4.84231300e-01	1.13777100e-02	4.17536900e-04
4.96972800e-01	1.05227600e-02	3.95460200e-04
5.09714200e-01	1.04689700e-02	3.96789600e-04
5.22455500e-01	1.08057400e-02	3.83588500e-04
