q[nm-1]	merged(TipAS_1.96mgml-1_35deg_sub_ave_cm-1_divconc_nm-1.dat_00001_[493]TipAS_NaP_35deg_1-2_ave_sub_cm-1_divconc.dat_00001_[TipAS_NaP_35deg_1-2_ave_sub.dat],scale_high,lq=0.9025,hq=1.0031)	error
1.14692100e-01	1.36433200e-02	2.31220900e-03
1.27435600e-01	1.77247900e-02	1.65945500e-03
1.40179000e-01	1.47236400e-02	1.55360300e-03
1.52922400e-01	1.59106600e-02	1.33895200e-03
1.65665800e-01	1.77466800e-02	1.22287600e-03
1.78409200e-01	1.72203600e-02	1.20882400e-03
1.91152500e-01	1.52136000e-02	1.05530700e-03
2.03895700e-01	1.86825000e-02	1.06351100e-03
2.16639000e-01	1.32277100e-02	9.13601500e-04
2.29382100e-01	1.73958300e-02	9.03833700e-04
2.42125300e-01	1.48703400e-02	8.37160700e-04
2.54868300e-01	1.47180400e-02	7.86470900e-04
2.67611300e-01	1.45059100e-02	7.61800500e-04
2.80354300e-01	1.46584700e-02	6.82327600e-04
2.93097200e-01	1.43667200e-02	6.62629600e-04
3.05840000e-01	1.26962300e-02	6.11803100e-04
3.18582800e-01	1.39558100e-02	5.91588800e-04
3.31325500e-01	1.28910300e-02	5.62873000e-04
3.44068100e-01	1.24683500e-02	5.20580600e-04
3.56810600e-01	1.22225500e-02	5.14334200e-04
3.69553100e-01	1.31953800e-02	4.93741500e-04
3.82295500e-01	1.16682100e-02	4.82453500e-04
3.95037800e-01	1.31569000e-02	4.71856600e-04
4.07780000e-01	1.17591700e-02	4.47707600e-04
4.20522100e-01	1.12767000e-02	4.47290200e-04
4.33264100e-01	1.01132300e-02	4.14808900e-04
4.46006100e-01	1.09030600e-02	4.33362700e-04
4.58747900e-01	1.03872200e-02	4.07756100e-04
4.71489600e-01	9.99778600e-03	4.03901600e-04
4.84231300e-01	9.87927600e-03	4.00419100e-04
4.96972800e-01	9.57164300e-03	3.81868700e-04
5.09714200e-01	8.67688300e-03	3.81246200e-04
5.22455500e-01	8.66429600e-03	3.66025100e-04
5.35196700e-01	8.76310700e-03	3.70534200e-04
5.47937800e-01	8.82629100e-03	3.63742000e-04
5.60678700e-01	8.11618900e-03	3.42958000e-04
5.73419600e-01	8.31598500e-03	3.49459400e-04
5.86160300e-01	7.02945400e-03	3.32018100e-04
5.98900800e-01	7.05560200e-03	3.33019200e-04
6.11641300e-01	7.49695900e-03	3.36422200e-04
6.24381600e-01	7.32062800e-03	3.17400700e-04
6.37121700e-01	7.02748000e-03	3.28400100e-04
6.49861800e-01	7.04331100e-03	3.07918000e-04
6.62601700e-01	7.34900000e-03	3.12822700e-04
6.75341400e-01	6.33093400e-03	3.01874800e-04
6.88081000e-01	6.46273000e-03	3.04212300e-04
7.00820400e-01	6.92617900e-03	3.06546200e-04
7.13559700e-01	6.01344900e-03	2.85832800e-04
7.26298800e-01	6.43537800e-03	2.90843000e-04
7.39037800e-01	5.84559700e-03	2.82552700e-04
7.51776600e-01	5.58171400e-03	2.84436600e-04
7.64515300e-01	6.00696900e-03	2.78173700e-04
7.77253700e-01	5.89143900e-03	2.76688800e-04
7.89992000e-01	5.12833200e-03	2.70699800e-04
8.02730200e-01	4.92414100e-03	2.64541000e-04
8.15468100e-01	4.28926500e-03	2.62917700e-04
8.28205900e-01	4.65642800e-03	2.58109500e-04
8.40943500e-01	4.87860500e-03	2.57181000e-04
8.53680900e-01	3.84195200e-03	2.57168600e-04
8.66418100e-01	4.38007200e-03	2.48895700e-04
8.79155100e-01	4.62501000e-03	2.51564500e-04
8.91892000e-01	4.03028700e-03	2.43098600e-04
9.17365000e-01	4.17080466e-03	2.45355493e-04
9.30101300e-01	4.00505224e-03	2.41883498e-04
9.42837300e-01	3.86197952e-03	2.38787566e-04
9.55573100e-01	3.66864266e-03	2.35289325e-04
9.68308700e-01	3.72876595e-03	2.33257315e-04
9.81044100e-01	3.71554047e-03	2.30587085e-04
9.93779300e-01	3.48401653e-03	2.29178156e-04
1.01320100e+00	3.32280153e-03	3.21300065e-05
1.01836200e+00	3.27974493e-03	3.23008914e-05
1.02352400e+00	3.26946009e-03	3.24939170e-05
1.02868600e+00	3.22976451e-03	3.20931410e-05
1.03384800e+00	3.27433304e-03	3.22552557e-05
1.03900900e+00	3.15072757e-03	3.21955500e-05
1.04417100e+00	3.11326400e-03	3.19473831e-05
1.04933300e+00	3.11119699e-03	3.19783300e-05
1.05449500e+00	3.05035781e-03	3.21668271e-05
1.05965600e+00	2.99949320e-03	3.19825089e-05
1.06481800e+00	3.00055764e-03	3.20225667e-05
1.06998000e+00	2.95727236e-03	3.21418884e-05
1.07514200e+00	2.94339335e-03	3.17457307e-05
1.08030300e+00	2.85197675e-03	3.18960172e-05
1.08546500e+00	2.91176763e-03	3.20382778e-05
1.09062700e+00	2.87852955e-03	3.16538855e-05
1.09578900e+00	2.81033612e-03	3.17979934e-05
1.10095000e+00	2.78096932e-03	3.19605923e-05
1.10611200e+00	2.80285722e-03	3.15526961e-05
1.11127400e+00	2.67667090e-03	3.21313247e-05
1.11643600e+00	2.66939735e-03	3.25032343e-05
1.12159800e+00	2.64965179e-03	3.25832603e-05
1.12675900e+00	2.66824413e-03	3.28201371e-05
1.13192100e+00	2.57206668e-03	3.31160380e-05
1.13708300e+00	2.55892749e-03	3.30182832e-05
1.14224500e+00	2.57916716e-03	3.28856806e-05
1.14740600e+00	2.59548713e-03	3.31422949e-05
1.15256800e+00	2.47818582e-03	3.31016452e-05
1.15773000e+00	2.48661259e-03	3.32367676e-05
1.16289200e+00	2.41586700e-03	3.30276812e-05
1.16805300e+00	2.39850590e-03	3.29509731e-05
1.17321500e+00	2.33280454e-03	3.30443069e-05
1.17837700e+00	2.30109004e-03	3.25311501e-05
1.18353900e+00	2.27139772e-03	3.19929650e-05
1.18870000e+00	2.32638380e-03	3.24856579e-05
1.19386200e+00	2.25378463e-03	3.23777609e-05
1.19902400e+00	2.25662285e-03	3.20690633e-05
1.20418600e+00	2.18947862e-03	3.26047285e-05
1.20934700e+00	2.17276945e-03	3.24160252e-05
1.21450900e+00	2.17276138e-03	3.21720372e-05
1.21967100e+00	2.12785478e-03	3.23928621e-05
1.22483300e+00	2.09310478e-03	3.22773427e-05
1.22999500e+00	2.08827219e-03	3.19625562e-05
1.23515600e+00	2.05665006e-03	3.24838196e-05
1.24031800e+00	2.05359842e-03	3.22027868e-05
1.24548000e+00	2.06204133e-03	3.21323649e-05
1.25064200e+00	1.96198902e-03	3.21948236e-05
1.25580300e+00	1.97173402e-03	3.21168422e-05
1.26096500e+00	2.01817316e-03	3.20324041e-05
1.26612700e+00	1.97586355e-03	3.22708143e-05
1.27128900e+00	1.92866575e-03	3.19893870e-05
1.27645000e+00	1.93662263e-03	3.18308145e-05
1.28161200e+00	1.99580550e-03	3.20384123e-05
1.28677400e+00	1.92159397e-03	3.18656174e-05
1.29193600e+00	1.81372917e-03	3.25291683e-05
1.29709700e+00	1.82839195e-03	3.27464421e-05
1.30225900e+00	1.81888818e-03	3.26916775e-05
1.30742100e+00	1.79604614e-03	3.30661697e-05
1.31258300e+00	1.75673258e-03	3.32465602e-05
1.31774400e+00	1.74016062e-03	3.31379367e-05
1.32290600e+00	1.71076153e-03	3.33433286e-05
1.32806800e+00	1.68166824e-03	3.38081326e-05
1.33323000e+00	1.72524316e-03	3.35232527e-05
1.33839100e+00	1.67671907e-03	3.40278366e-05
1.34355300e+00	1.63324009e-03	3.39353457e-05
1.34871500e+00	1.60028808e-03	3.38882842e-05
1.35387700e+00	1.57122259e-03	3.39333997e-05
1.35903800e+00	1.55792287e-03	3.35389996e-05
1.36420000e+00	1.51818694e-03	3.31739144e-05
1.36936200e+00	1.59064621e-03	3.27456978e-05
1.37452400e+00	1.53227848e-03	3.29791042e-05
1.37968600e+00	1.55481115e-03	3.29105386e-05
1.38484700e+00	1.52083684e-03	3.25901205e-05
1.39000900e+00	1.44153445e-03	3.27208219e-05
1.39517100e+00	1.50859708e-03	3.23064064e-05
1.40033300e+00	1.46133113e-03	3.23626506e-05
1.40549400e+00	1.50805096e-03	3.24068156e-05
1.41065600e+00	1.45011008e-03	3.22247572e-05
1.41581800e+00	1.43028471e-03	3.19742677e-05
1.42098000e+00	1.38504900e-03	3.23390033e-05
1.42614100e+00	1.33603708e-03	3.20929169e-05
1.43130300e+00	1.36847615e-03	3.19284886e-05
1.43646500e+00	1.36372337e-03	3.20397575e-05
1.44162700e+00	1.30673125e-03	3.18637880e-05
1.44678800e+00	1.32225850e-03	3.17211149e-05
1.45195000e+00	1.34823199e-03	3.19378148e-05
1.45711200e+00	1.31664573e-03	3.15808720e-05
1.46227400e+00	1.27655648e-03	3.14749478e-05
1.46743500e+00	1.25526402e-03	3.16525583e-05
1.47259700e+00	1.19734735e-03	3.16864017e-05
1.47775900e+00	1.23271611e-03	3.13282752e-05
1.48292100e+00	1.20976646e-03	3.15310216e-05
1.48808300e+00	1.21606255e-03	3.13155772e-05
1.49324400e+00	1.27161179e-03	3.12612072e-05
1.49840600e+00	1.18473814e-03	3.14045259e-05
1.50356800e+00	1.18446104e-03	3.11269815e-05
1.50873000e+00	1.13019864e-03	3.11178974e-05
1.51389100e+00	1.16832221e-03	3.13234776e-05
1.51905300e+00	1.15100595e-03	3.12465094e-05
1.52421500e+00	1.08553416e-03	3.11079973e-05
1.52937700e+00	1.09482181e-03	3.11355006e-05
1.53453800e+00	1.13460168e-03	3.11677119e-05
1.53970000e+00	1.04127950e-03	3.08763485e-05
1.54486200e+00	1.07030015e-03	3.11663668e-05
